window_t,window_t_abs,run_id,domain,scenario,attack_type,label,label_detail,source,roll_mean,roll_std,pitch_mean,pitch_std,yaw_mean,yaw_std,rollspeed_std,pitchspeed_std,yawspeed_std,groundspeed,alt,climb,throttle,heading,msg_count_in_window,attitude_count_in_window,cmd_ack_count,param_value_count
0.0,1776674730.046,20260420_174529_d4d958,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.021486,0.000656,-0.015273,0.000588,0.434444,0.000131,0.002749,0.0027,0.00191,,497.716,,,,13,5,0,0
1.0,1776674731.046,20260420_174529_d4d958,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.020259,0.000624,-0.016692,0.000874,0.434421,6e-05,0.003915,0.003178,0.001372,0.0283638574182987,497.74,0.1055215150117874,70.0,24.0,13,6,0,0
2.0,1776674732.046,20260420_174529_d4d958,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.02047,0.001289,-0.018798,0.000274,0.434422,5.7e-05,0.002263,0.0034,0.000815,0.0283638574182987,497.766,0.1055215150117874,70.0,24.0,11,4,0,0
3.0,1776674733.046,20260420_174529_d4d958,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.021519,0.00033,-0.017836,0.000554,0.434457,0.000115,0.001715,0.004761,0.001216,0.0188785139471292,497.79,0.0770202651619911,70.0,24.0,12,6,0,0
4.0,1776674734.046,20260420_174529_d4d958,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.021741,0.000483,-0.016735,0.000185,0.434358,4.5e-05,0.001136,0.000784,0.000823,0.0188785139471292,497.823,0.0770202651619911,70.0,24.0,13,4,0,0
5.0,1776674735.046,20260420_174529_d4d958,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.018611,0.001321,-0.015711,0.000822,0.434473,0.000147,0.004253,0.003146,0.002441,0.0251232609152793,497.852,0.0589097663760185,70.0,24.0,12,6,0,0
6.0,1776674736.046,20260420_174529_d4d958,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.017639,0.000545,-0.01457,0.00057,0.434535,0.000151,0.002255,0.006621,0.001079,0.0251232609152793,497.891,0.0589097663760185,70.0,24.0,11,4,0,0
7.0,1776674737.046,20260420_174529_d4d958,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.017693,0.000281,-0.01629,0.000528,0.434456,0.000102,0.00144,0.002143,0.001192,0.0291463136672973,497.922,0.041038628667593,70.0,24.0,12,6,0,0
8.0,1776674738.046,20260420_174529_d4d958,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.017316,0.000196,-0.016167,0.000181,0.434401,4.6e-05,0.003657,0.002163,0.001711,0.0291463136672973,497.986,0.041038628667593,70.0,24.0,12,4,0,0
9.0,1776674739.046,20260420_174529_d4d958,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.018206,0.00082,-0.016909,0.000917,0.43441,7.1e-05,0.004077,0.00638,0.001414,0.021185602992773,498.046,0.0156245101243257,70.0,24.0,12,6,0,0
