window_t,window_t_abs,run_id,domain,scenario,attack_type,label,label_detail,source,roll_mean,roll_std,pitch_mean,pitch_std,yaw_mean,yaw_std,rollspeed_std,pitchspeed_std,yawspeed_std,groundspeed,alt,climb,throttle,heading,msg_count_in_window,attitude_count_in_window,cmd_ack_count,param_value_count
0.0,1776673325.007,20260420_172204_316d79,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.03408,0.002246,-0.00843,0.000886,0.360091,0.000127,0.008219,0.007355,0.001942,0.0144568001851439,497.914,0.044959869235754,70.0,20.0,12,6,0,0
1.0,1776673326.007,20260420_172204_316d79,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.036227,0.001096,-0.009684,0.000283,0.360145,0.000118,0.007717,0.001737,0.00136,0.0144568001851439,497.884,0.044959869235754,70.0,20.0,13,5,0,0
2.0,1776673327.007,20260420_172204_316d79,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.035492,0.000543,-0.009323,0.000396,0.360079,8e-05,0.002358,0.0031,0.00065,0.0330468565225601,497.87,0.0575332455337047,70.0,20.0,11,5,0,0
3.0,1776673328.007,20260420_172204_316d79,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.036131,0.000924,-0.009123,0.000705,0.360114,0.000123,0.005289,0.003883,0.003243,0.0330468565225601,497.853,0.0575332455337047,70.0,20.0,12,5,0,0
4.0,1776673329.007,20260420_172204_316d79,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.036999,0.001083,-0.009598,0.000617,0.360142,5.4e-05,0.009892,0.002113,0.001838,0.0429870225489139,497.846,0.0638272985816001,70.0,20.0,11,5,0,0
5.0,1776673330.007,20260420_172204_316d79,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.036333,0.000741,-0.009423,0.000445,0.360038,5.7e-05,0.003249,0.001393,0.000546,0.0429870225489139,497.83,0.0638272985816001,70.0,20.0,13,5,0,0
6.0,1776673331.007,20260420_172204_316d79,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.036216,0.001465,-0.00881,0.000319,0.360008,0.000203,0.007767,0.004125,0.001868,0.0459150187671184,497.821,0.0736567303538322,70.0,20.0,11,5,0,0
7.0,1776673332.007,20260420_172204_316d79,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.03266,0.001038,-0.010943,0.000576,0.360263,0.000118,0.003944,0.004653,0.001798,0.0459150187671184,497.821,0.0736567303538322,70.0,20.0,12,5,0,0
8.0,1776673333.007,20260420_172204_316d79,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.036223,0.002213,-0.010193,0.00105,0.36028,5.9e-05,0.001836,0.005094,0.001192,0.0450426898896694,497.822,0.0711590051651001,70.0,20.0,11,5,0,0
9.0,1776673334.007,20260420_172204_316d79,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.037956,0.002115,-0.009254,0.000726,0.360201,0.000112,0.005773,0.002276,0.002198,0.0450426898896694,497.836,0.0711590051651001,70.0,20.0,14,5,0,0
10.0,1776673335.007,20260420_172204_316d79,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.038722,0.001866,-0.010026,0.000405,0.36013,0.000172,0.005896,0.001057,0.002016,0.0319138914346694,497.816,0.0669850781559944,70.0,20.0,11,5,0,0
11.0,1776673336.007,20260420_172204_316d79,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.043063,0.001051,-0.011193,0.000331,0.360216,5.7e-05,0.008491,0.002892,0.002102,0.0319138914346694,497.841,0.0669850781559944,70.0,20.0,12,5,0,0
12.0,1776673337.007,20260420_172204_316d79,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.035565,0.002645,-0.013158,0.000597,0.360307,0.000153,0.008096,0.004055,0.002552,0.0126723172143101,497.847,0.0627661719918251,70.0,20.0,11,5,0,0
13.0,1776673338.007,20260420_172204_316d79,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.03384,0.001282,-0.011333,0.000761,0.36034,6.7e-05,0.005612,0.003675,0.001685,0.0126723172143101,497.863,0.0627661719918251,70.0,20.0,13,5,0,0
14.0,1776673339.007,20260420_172204_316d79,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.037933,0.001397,-0.011457,0.000708,0.360171,0.000105,0.005344,0.00318,0.001085,0.0429348386824131,497.886,0.0529308691620826,70.0,20.0,11,5,0,0
15.0,1776673340.007,20260420_172204_316d79,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.038537,0.000412,-0.011321,0.000498,0.360212,6.7e-05,0.003415,0.003793,0.001824,0.0429348386824131,497.913,0.0529308691620826,70.0,20.0,12,5,0,0
16.0,1776673341.007,20260420_172204_316d79,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.038642,0.000429,-0.009862,0.000463,0.360211,5.6e-05,0.001638,0.004419,0.002619,0.0364550724625587,497.948,0.0403494164347648,70.0,20.0,11,5,0,0
17.0,1776673342.007,20260420_172204_316d79,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.038076,0.001033,-0.009986,0.000867,0.360247,7.1e-05,0.010082,0.006915,0.000902,0.0364550724625587,497.955,0.0403494164347648,70.0,20.0,13,5,0,0
18.0,1776673343.007,20260420_172204_316d79,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.036046,0.000974,-0.011964,0.000634,0.360253,0.000102,0.007573,0.003721,0.001016,0.0288746412843465,497.96,0.015570655465126,70.0,20.0,11,5,0,0
19.0,1776673344.007,20260420_172204_316d79,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.039527,0.001719,-0.010426,0.000873,0.360306,0.000102,0.003539,0.003783,0.00136,0.0288746412843465,497.937,0.015570655465126,70.0,20.0,12,5,0,0
20.0,1776673345.007,20260420_172204_316d79,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.043019,0.000746,-0.008946,0.000615,0.360246,0.000146,0.008923,0.005727,0.001118,0.0433958359062671,497.936,0.0368452332913875,70.0,20.0,11,5,0,0
21.0,1776673346.007,20260420_172204_316d79,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.041339,0.000826,-0.008984,0.000559,0.360232,0.000124,0.002788,0.002125,0.002017,0.0433958359062671,497.931,0.0368452332913875,70.0,20.0,13,5,0,0
22.0,1776673347.007,20260420_172204_316d79,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.040274,0.000921,-0.008638,0.00053,0.360188,7.7e-05,0.00542,0.002832,0.001139,0.0528983920812606,497.912,0.0364956110715866,70.0,20.0,11,5,0,0
23.0,1776673348.007,20260420_172204_316d79,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.037599,0.000851,-0.010602,0.000506,0.360201,5.4e-05,0.006618,0.003185,0.001865,0.0528983920812606,497.911,0.0364956110715866,70.0,20.0,12,5,0,0
