window_t,window_t_abs,run_id,domain,scenario,attack_type,label,label_detail,source,roll_mean,roll_std,pitch_mean,pitch_std,yaw_mean,yaw_std,rollspeed_std,pitchspeed_std,yawspeed_std,groundspeed,alt,climb,throttle,heading,msg_count_in_window,attitude_count_in_window,cmd_ack_count,param_value_count
0.0,1776684287.395,20260420_202447_bb6e38,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.021528,0.067452,-0.002321,0.004206,0.727715,0.000395,0.815655,0.048536,0.002724,,498.341,,,,12,5,0,0
1.0,1776684288.395,20260420_202447_bb6e38,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.021352,0.091923,0.001023,0.008597,0.726362,0.000392,1.231962,0.050452,0.005517,0.1270420998334884,498.317,-0.0791552290320396,69.0,41.0,13,5,0,0
2.0,1776684289.395,20260420_202447_bb6e38,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.013996,0.092913,-0.000324,0.012878,0.728495,0.002976,1.683761,0.111212,0.013254,0.1270420998334884,498.309,-0.0791552290320396,69.0,41.0,11,5,0,0
3.0,1776684290.395,20260420_202447_bb6e38,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.007894,0.075776,-0.001301,0.010683,0.727558,0.003505,1.400506,0.151081,0.004742,0.134046584367752,498.29,-0.0542567484080791,69.0,41.0,12,5,0,0
4.0,1776684291.395,20260420_202447_bb6e38,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.00234,0.053605,0.005277,0.007623,0.727295,0.001466,1.005436,0.100226,0.013818,0.134046584367752,498.253,-0.0542567484080791,69.0,41.0,12,5,0,0
5.0,1776684292.395,20260420_202447_bb6e38,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.009117,0.064102,0.005642,0.007431,0.729551,0.000862,0.73822,0.014634,0.001973,0.1494379341602325,498.277,-0.0446016676723957,70.0,41.0,13,5,0,0
6.0,1776684293.395,20260420_202447_bb6e38,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.009518,0.086232,0.000363,0.005679,0.725961,0.002153,1.711299,0.222934,0.011891,0.1494379341602325,498.295,-0.0446016676723957,70.0,41.0,11,5,0,0
7.0,1776684294.395,20260420_202447_bb6e38,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.022891,0.086896,-0.003862,0.007098,0.729499,0.00107,1.191389,0.052408,0.006082,0.1359752416610717,498.316,-0.0708978250622749,69.0,41.0,12,5,0,0
8.0,1776684295.395,20260420_202447_bb6e38,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.026543,0.062908,0.000926,0.011964,0.729607,0.002775,1.684298,0.04971,0.018396,0.1359752416610717,498.349,-0.0708978250622749,69.0,41.0,12,5,0,0
9.0,1776684296.395,20260420_202447_bb6e38,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.027726,0.090106,0.001769,0.003673,0.72956,0.000733,1.587814,0.081097,0.004088,0.0855297744274139,498.372,-0.0412524342536926,68.0,41.0,12,5,0,0
10.0,1776684297.395,20260420_202447_bb6e38,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.028432,0.113144,0.000314,0.00663,0.728543,0.003546,1.593898,0.135731,0.01288,0.0855297744274139,498.448,-0.0412524342536926,68.0,41.0,13,5,0,0
11.0,1776684298.395,20260420_202447_bb6e38,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.029492,0.13799,-1.2e-05,0.015613,0.729753,0.002204,2.307944,0.072598,0.012007,0.1495363116264343,498.496,-0.0740023627877235,68.0,41.0,11,5,0,0
12.0,1776684299.395,20260420_202447_bb6e38,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.023502,0.191332,-0.002677,0.019303,0.723266,0.005558,2.120731,0.05528,0.02391,0.1495363116264343,498.547,-0.0740023627877235,68.0,41.0,12,5,0,0
13.0,1776684300.395,20260420_202447_bb6e38,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.014007,0.106161,-0.000109,0.011599,0.728815,0.005605,1.098898,0.212971,0.023424,0.0209675133228302,498.62,-0.2100802958011627,70.0,41.0,14,5,0,0
14.0,1776684301.395,20260420_202447_bb6e38,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.016931,0.118095,0.002537,0.00629,0.730726,0.002729,1.404391,0.194767,0.007544,0.0209675133228302,498.676,-0.2100802958011627,70.0,41.0,11,5,0,0
15.0,1776684302.395,20260420_202447_bb6e38,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,0.011014,0.142022,0.000958,0.009289,0.726259,0.005031,2.522428,0.251431,0.028807,0.1365151554346084,498.754,-0.2075484246015548,69.0,41.0,11,5,0,0
16.0,1776684303.395,20260420_202447_bb6e38,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,-0.006847,0.119093,-0.002346,0.01447,0.723176,0.01033,3.391964,0.404033,0.03294,0.1365151554346084,498.769,-0.2075484246015548,69.0,41.0,13,5,0,0
17.0,1776684304.395,20260420_202447_bb6e38,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,-0.002837,0.15942,0.004252,0.023765,0.729626,0.009231,1.957015,0.382397,0.024333,0.3520062863826751,498.792,-0.1043853983283042,69.0,41.0,12,5,0,0
18.0,1776684305.395,20260420_202447_bb6e38,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,-0.01544,0.138694,0.003626,0.028339,0.728468,0.011472,2.528155,0.370813,0.0338,0.3520062863826751,498.92,-0.1043853983283042,69.0,41.0,12,5,0,0
19.0,1776684306.395,20260420_202447_bb6e38,hitl,hover,malformed,attack,pre_attack,new_rpi_2026_04_20,-0.04297,0.110994,-0.003488,0.027841,0.727373,0.00685,1.436775,0.400556,0.032195,0.720116376876831,498.994,-0.2525916993618011,69.0,41.0,11,5,0,0
