window_t,window_t_abs,run_id,domain,scenario,attack_type,label,label_detail,source,roll_mean,roll_std,pitch_mean,pitch_std,yaw_mean,yaw_std,rollspeed_std,pitchspeed_std,yawspeed_std,groundspeed,alt,climb,throttle,heading,msg_count_in_window,attitude_count_in_window,cmd_ack_count,param_value_count
0.0,1776682032.265,20260420_194711_b755c3,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.014595,0.001019,-0.032972,0.001073,0.49023,0.000135,0.004076,0.00494,0.001778,0.0334123596549034,498.459,-0.1581742167472839,70.0,28.0,14,5,0,0
1.0,1776682033.265,20260420_194711_b755c3,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.015107,0.000611,-0.032097,0.000963,0.490098,9.6e-05,0.001711,0.004896,0.002218,0.0334123596549034,498.454,-0.1581742167472839,70.0,28.0,10,5,0,0
2.0,1776682034.265,20260420_194711_b755c3,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.013238,0.000352,-0.03505,0.000912,0.489893,0.000151,0.003879,0.007095,0.002722,0.0429406426846981,498.412,-0.1665314733982086,70.0,28.0,13,5,0,0
3.0,1776682035.265,20260420_194711_b755c3,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.015103,0.000519,-0.031568,0.000336,0.489934,4.9e-05,0.003652,0.003842,0.002204,0.0429406426846981,498.406,-0.1665314733982086,70.0,28.0,11,5,0,0
4.0,1776682036.265,20260420_194711_b755c3,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.013226,0.0007,-0.03231,0.0004,0.490221,8.8e-05,0.00345,0.002458,0.000924,0.0332189463078975,498.364,-0.1264103800058365,70.0,28.0,13,5,0,0
5.0,1776682037.265,20260420_194711_b755c3,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.013526,0.000616,-0.033897,0.00047,0.490137,8.8e-05,0.002941,0.004623,0.000582,0.0332189463078975,498.339,-0.1264103800058365,70.0,28.0,10,5,0,0
6.0,1776682038.265,20260420_194711_b755c3,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.01319,0.000549,-0.03319,0.000198,0.489884,9.6e-05,0.004349,0.002561,0.000967,0.02747861482203,498.307,-0.1054583340883255,70.0,28.0,14,5,0,0
7.0,1776682039.265,20260420_194711_b755c3,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.013967,0.000362,-0.033406,0.000632,0.489936,0.000195,0.002769,0.003693,0.003222,0.02747861482203,498.306,-0.1054583340883255,70.0,28.0,11,5,0,0
8.0,1776682040.265,20260420_194711_b755c3,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.014779,0.000449,-0.035313,0.000599,0.489986,9.2e-05,0.004426,0.003969,0.001526,0.031318075954914,498.266,-0.1065995544195175,70.0,28.0,13,5,0,0
9.0,1776682041.265,20260420_194711_b755c3,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.013861,0.000698,-0.033769,0.0006,0.489841,0.000201,0.007272,0.00317,0.002427,0.031318075954914,498.242,-0.1065995544195175,70.0,28.0,14,5,0,0
