window_t,window_t_abs,run_id,domain,scenario,attack_type,label,label_detail,source,roll_mean,roll_std,pitch_mean,pitch_std,yaw_mean,yaw_std,rollspeed_std,pitchspeed_std,yawspeed_std,groundspeed,alt,climb,throttle,heading,msg_count_in_window,attitude_count_in_window,cmd_ack_count,param_value_count
0.0,1776682422.27,20260420_195341_fd1ee3,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.012973,0.000483,0.002106,0.00078,0.442308,7.9e-05,0.006134,0.005246,0.001745,0.0412692502140998,498.196,-0.0205729287117719,70.0,25.0,13,5,0,0
1.0,1776682423.27,20260420_195341_fd1ee3,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.013344,0.000562,0.000899,0.000739,0.442197,0.000118,0.00384,0.005877,0.000723,0.0412692502140998,498.185,-0.0205729287117719,70.0,25.0,10,5,0,0
2.0,1776682424.27,20260420_195341_fd1ee3,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.015468,0.000901,0.000879,0.000334,0.442196,5.1e-05,0.003494,0.005661,0.001979,0.0493202172219753,498.154,0.0079857800155878,70.0,25.0,15,5,0,0
3.0,1776682425.27,20260420_195341_fd1ee3,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.015862,0.000556,0.001016,0.001065,0.442213,5.3e-05,0.006616,0.002956,0.002094,0.0493202172219753,498.149,0.0079857800155878,70.0,25.0,10,5,0,0
4.0,1776682426.27,20260420_195341_fd1ee3,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.016323,0.00068,0.003896,0.001028,0.442137,6.1e-05,0.007852,0.004928,0.001994,0.0536552928388118,498.122,0.0122518958523869,70.0,25.0,13,5,0,0
5.0,1776682427.27,20260420_195341_fd1ee3,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.018789,0.000494,0.005639,0.000271,0.442217,9.8e-05,0.006338,0.002465,0.002583,0.0536552928388118,498.115,0.0122518958523869,70.0,25.0,10,5,0,0
6.0,1776682428.27,20260420_195341_fd1ee3,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.016371,0.000906,0.006196,0.000204,0.442215,8.2e-05,0.004139,0.00311,0.002548,0.0576455146074295,498.11,0.0144575256854295,70.0,25.0,13,5,0,0
7.0,1776682429.27,20260420_195341_fd1ee3,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.014234,0.000782,0.005649,0.000512,0.44209,0.000107,0.008574,0.003467,0.001257,0.0576455146074295,498.098,0.0144575256854295,70.0,25.0,11,5,0,0
8.0,1776682430.27,20260420_195341_fd1ee3,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.011614,0.000899,0.004371,0.000199,0.44215,6.1e-05,0.006545,0.002195,0.001183,0.0376787707209587,498.103,0.0171299017965793,70.0,25.0,13,5,0,0
9.0,1776682431.27,20260420_195341_fd1ee3,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.012743,0.000787,0.00672,0.000706,0.442001,5.4e-05,0.00449,0.00236,0.001914,0.0376787707209587,498.079,0.0171299017965793,70.0,25.0,11,5,0,0
