window_t,window_t_abs,run_id,domain,scenario,attack_type,label,label_detail,source,roll_mean,roll_std,pitch_mean,pitch_std,yaw_mean,yaw_std,rollspeed_std,pitchspeed_std,yawspeed_std,groundspeed,alt,climb,throttle,heading,msg_count_in_window,attitude_count_in_window,cmd_ack_count,param_value_count
0.0,1776682878.285,20260420_200118_b6b214,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,-0.002825,0.000854,0.000669,0.000245,0.441869,0.00014,0.005625,0.001952,0.001159,0.06248140335083,498.333,-0.0670092180371284,70.0,25.0,13,5,0,0
1.0,1776682879.285,20260420_200118_b6b214,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,-0.003491,0.001347,0.001686,0.000426,0.441905,7.9e-05,0.004971,0.00537,0.001927,0.06248140335083,498.329,-0.0670092180371284,70.0,25.0,11,5,0,0
2.0,1776682880.285,20260420_200118_b6b214,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,-0.00472,0.000737,-0.000967,0.001117,0.442033,5.2e-05,0.006159,0.004487,0.0018,0.0536871589720249,498.338,-0.0581929385662078,70.0,25.0,13,5,0,0
3.0,1776682881.285,20260420_200118_b6b214,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,-0.003173,0.000581,-0.001023,0.00041,0.442005,4.6e-05,0.005574,0.002585,0.000667,0.0536871589720249,498.311,-0.0581929385662078,70.0,25.0,13,5,0,0
4.0,1776682882.285,20260420_200118_b6b214,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,-0.002739,0.000765,0.001165,0.000788,0.442061,5.7e-05,0.005194,0.006296,0.002233,0.0521693751215934,498.294,-0.0502997227013111,70.0,25.0,13,5,0,0
5.0,1776682883.285,20260420_200118_b6b214,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,-0.003746,0.000795,0.001489,0.000342,0.442012,5.7e-05,0.006683,0.003295,0.001954,0.0521693751215934,498.296,-0.0502997227013111,70.0,25.0,10,5,0,0
6.0,1776682884.285,20260420_200118_b6b214,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,-0.002068,0.000359,0.001816,0.000608,0.44201,9.9e-05,0.003937,0.006935,0.002344,0.0504284314811229,498.301,-0.0560263209044933,70.0,25.0,13,5,0,0
7.0,1776682885.285,20260420_200118_b6b214,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,-0.003077,0.000389,0.001776,0.000316,0.442031,0.000122,0.005574,0.00372,0.00237,0.0504284314811229,498.299,-0.0560263209044933,70.0,25.0,11,5,0,0
8.0,1776682886.285,20260420_200118_b6b214,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,-0.003588,0.000629,0.001109,0.000816,0.441988,8.9e-05,0.003295,0.005921,0.001773,0.0403378196060657,498.332,-0.0612895153462886,70.0,25.0,14,5,0,0
9.0,1776682887.285,20260420_200118_b6b214,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,-0.003196,0.000811,0.001111,0.0004,0.442041,0.000122,0.003453,0.001651,0.00132,0.0403378196060657,498.344,-0.0612895153462886,70.0,25.0,10,5,0,0
