window_t,window_t_abs,run_id,domain,scenario,attack_type,label,label_detail,source,roll_mean,roll_std,pitch_mean,pitch_std,yaw_mean,yaw_std,rollspeed_std,pitchspeed_std,yawspeed_std,groundspeed,alt,climb,throttle,heading,msg_count_in_window,attitude_count_in_window,cmd_ack_count,param_value_count
0.0,1776683248.294,20260420_200727_ea437e,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,-0.004353,0.000473,-0.000563,0.00043,0.441919,1.7e-05,0.00248,0.003619,0.002208,0.0312097761780023,498.126,0.0123950187116861,70.0,25.0,13,5,0,0
1.0,1776683249.294,20260420_200727_ea437e,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,-0.004661,0.000418,-0.000476,0.000368,0.442007,0.000102,0.004789,0.004508,0.002218,0.0312097761780023,498.136,0.0123950187116861,70.0,25.0,11,5,0,0
2.0,1776683250.294,20260420_200727_ea437e,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,-0.005301,0.000481,-0.000801,0.000614,0.441974,0.000114,0.00443,0.00192,0.00241,0.0228725168853998,498.13,0.0102432006970047,70.0,25.0,13,5,0,0
3.0,1776683251.294,20260420_200727_ea437e,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,-0.005474,0.000484,0.000265,0.000343,0.441924,8.3e-05,0.002682,0.003965,0.002142,0.0228725168853998,498.152,0.0102432006970047,70.0,25.0,10,5,0,0
4.0,1776683252.294,20260420_200727_ea437e,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,-0.004862,0.000655,0.002112,0.000961,0.441914,0.000101,0.004874,0.006075,0.000794,0.0074193472974002,498.173,-0.0029337771702557,70.0,25.0,13,5,0,0
5.0,1776683253.294,20260420_200727_ea437e,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,-0.004045,0.000864,0.002327,0.000342,0.442004,6.5e-05,0.004192,0.0033,0.001907,0.0074193472974002,498.191,-0.0029337771702557,70.0,25.0,11,5,0,0
6.0,1776683254.294,20260420_200727_ea437e,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,-0.003962,0.000681,0.002234,0.000261,0.441987,4.9e-05,0.002627,0.002462,0.002222,0.0362366512417793,498.215,-0.0146016078069806,70.0,25.0,13,5,0,0
7.0,1776683255.294,20260420_200727_ea437e,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,-0.005297,0.000937,0.001303,0.00028,0.441925,8e-05,0.003601,0.002991,0.001408,0.0362366512417793,498.226,-0.0146016078069806,70.0,25.0,10,5,0,0
8.0,1776683256.294,20260420_200727_ea437e,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,-0.007962,0.000237,-0.000727,0.000556,0.44186,5.8e-05,0.004744,0.002619,0.002559,0.0389846488833427,498.257,-0.0269091576337814,70.0,25.0,13,5,0,0
9.0,1776683257.294,20260420_200727_ea437e,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,-0.007192,0.000449,-0.000525,0.000166,0.441918,6e-05,0.005132,0.001986,0.001888,0.0389846488833427,498.262,-0.0269091576337814,70.0,25.0,11,5,0,0
10.0,1776683258.294,20260420_200727_ea437e,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,-0.005074,0.000815,-0.001194,0.000522,0.441895,6.2e-05,0.006404,0.003978,0.001755,0.0222411733120679,498.261,-0.0285304300487041,70.0,25.0,13,5,0,0
11.0,1776683259.294,20260420_200727_ea437e,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,-0.004865,0.000368,-0.002342,0.0006,0.4419,4.2e-05,0.003581,0.001716,0.001289,0.0222411733120679,498.252,-0.0285304300487041,70.0,25.0,10,5,0,0
