window_t,window_t_abs,run_id,domain,scenario,attack_type,label,label_detail,source,roll_mean,roll_std,pitch_mean,pitch_std,yaw_mean,yaw_std,rollspeed_std,pitchspeed_std,yawspeed_std,groundspeed,alt,climb,throttle,heading,msg_count_in_window,attitude_count_in_window,cmd_ack_count,param_value_count
0.0,1776683605.303,20260420_201324_7d75fb,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,0.015516,0.000557,-0.02857,0.000962,1.729879,6.8e-05,0.011093,0.007583,0.001373,,498.105,,,,11,5,0,0
1.0,1776683606.303,20260420_201324_7d75fb,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,0.013754,0.000956,-0.025972,0.001882,1.729888,0.000139,0.00441,0.007428,0.001511,0.0537389330565929,498.077,-0.0242594387382268,70.0,99.0,14,5,0,0
2.0,1776683607.303,20260420_201324_7d75fb,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,0.014597,0.00254,-0.025722,0.002362,1.729913,5.9e-05,0.003198,0.005832,0.002824,0.0537389330565929,498.082,-0.0242594387382268,70.0,99.0,11,5,0,0
3.0,1776683608.303,20260420_201324_7d75fb,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,0.019184,0.002078,-0.030664,0.00157,1.72979,0.000143,0.007006,0.004328,0.000523,0.0339827202260494,498.088,-0.0022942635696381,70.0,99.0,12,5,0,0
4.0,1776683609.303,20260420_201324_7d75fb,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,0.020733,0.001299,-0.031493,0.001028,1.729903,9.9e-05,0.004284,0.005345,0.002648,0.0339827202260494,498.096,-0.0022942635696381,70.0,99.0,10,5,0,0
5.0,1776683610.303,20260420_201324_7d75fb,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,0.018789,0.000586,-0.029664,0.000447,1.729943,5e-05,0.01046,0.009386,0.001519,0.0315190404653549,498.08,-0.0229367017745971,70.0,99.0,14,5,0,0
6.0,1776683611.303,20260420_201324_7d75fb,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,0.018755,0.000603,-0.029827,0.00091,1.729881,4.6e-05,0.006791,0.009501,0.001713,0.0315190404653549,498.072,-0.0229367017745971,70.0,99.0,11,5,0,0
7.0,1776683612.303,20260420_201324_7d75fb,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,0.020338,0.000265,-0.032306,0.000693,1.729861,6.7e-05,0.002251,0.003731,0.002206,0.0471379049122333,498.081,-0.0071449223905801,70.0,99.0,12,5,0,0
8.0,1776683613.303,20260420_201324_7d75fb,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,0.019532,0.0012,-0.030818,0.001047,1.729771,0.000127,0.005329,0.003887,0.002258,0.0471379049122333,498.082,-0.0071449223905801,70.0,99.0,10,5,0,0
9.0,1776683614.303,20260420_201324_7d75fb,hitl,hover,tampering,attack,pre_attack,new_rpi_2026_04_20,0.018085,0.000403,-0.029819,0.000235,1.72985,0.000137,0.005398,0.006352,0.001141,0.0524683967232704,498.09,-0.0155309215188026,70.0,99.0,14,5,0,0
