window_t,window_t_abs,run_id,domain,scenario,attack_type,label,label_detail,source,roll_mean,roll_std,pitch_mean,pitch_std,yaw_mean,yaw_std,rollspeed_std,pitchspeed_std,yawspeed_std,groundspeed,alt,climb,throttle,heading,msg_count_in_window,attitude_count_in_window,cmd_ack_count,param_value_count
0.0,1776685552.25,20260420_204552_dd948c,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.013216,0.000265,-0.020676,0.00091,0.471692,0.000152,0.004816,0.004282,0.001848,,498.334,,,,13,6,0,0
1.0,1776685553.25,20260420_204552_dd948c,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.012249,0.000518,-0.018654,0.000353,0.47168,0.000111,0.002165,0.006089,0.001492,0.0506837181746959,498.372,-0.1034144908189773,70.0,27.0,12,5,0,0
2.0,1776685554.25,20260420_204552_dd948c,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.011775,0.000622,-0.019623,0.000345,0.471592,0.000215,0.001561,0.005622,0.001788,0.0506837181746959,498.41,-0.1034144908189773,70.0,27.0,12,5,0,0
3.0,1776685555.25,20260420_204552_dd948c,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.013753,0.000713,-0.021263,0.000908,0.471526,0.000158,0.007282,0.003652,0.002256,0.0433858633041381,498.435,-0.1112988889217376,70.0,27.0,10,4,0,0
4.0,1776685556.25,20260420_204552_dd948c,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.01349,0.00052,-0.022841,0.000628,0.471692,3.2e-05,0.003452,0.004553,0.001289,0.0433858633041381,498.472,-0.1112988889217376,70.0,27.0,13,6,0,0
5.0,1776685557.25,20260420_204552_dd948c,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.013211,0.000283,-0.021948,0.000291,0.471601,7e-05,0.001813,0.003371,0.001226,0.021744268015027,498.497,-0.1351074874401092,70.0,27.0,12,5,0,0
6.0,1776685558.25,20260420_204552_dd948c,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.014049,0.000437,-0.021566,0.000133,0.471445,0.000125,0.003261,0.003694,0.000523,0.021744268015027,498.514,-0.1351074874401092,70.0,27.0,12,5,0,0
7.0,1776685559.25,20260420_204552_dd948c,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.012348,0.000313,-0.0207,0.000305,0.471709,0.000175,0.00462,0.00569,0.001643,0.0141855049878358,498.514,-0.1462729424238205,70.0,27.0,12,5,0,0
8.0,1776685560.25,20260420_204552_dd948c,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.012832,0.000368,-0.022272,0.000284,0.471657,7e-05,0.001693,0.005199,0.001313,0.0141855049878358,498.502,-0.1462729424238205,70.0,27.0,12,5,0,0
9.0,1776685561.25,20260420_204552_dd948c,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.013671,0.000603,-0.021404,0.001245,0.471647,0.000142,0.003982,0.003952,0.001998,0.0133498040959239,498.501,-0.1546864360570907,70.0,27.0,12,5,0,0
