window_t,window_t_abs,run_id,domain,scenario,attack_type,label,label_detail,source,roll_mean,roll_std,pitch_mean,pitch_std,yaw_mean,yaw_std,rollspeed_std,pitchspeed_std,yawspeed_std,groundspeed,alt,climb,throttle,heading,msg_count_in_window,attitude_count_in_window,cmd_ack_count,param_value_count
0.0,1776685951.256,20260420_205230_5fc343,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.026267,0.000544,-0.012686,0.000798,0.471677,9.3e-05,0.003175,0.002443,0.002203,0.0774982199072837,498.339,-0.0788980051875114,70.0,27.0,12,5,0,0
1.0,1776685952.256,20260420_205230_5fc343,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.025486,0.000528,-0.012293,0.00074,0.471793,7.6e-05,0.001915,0.007906,0.002602,0.0774982199072837,498.345,-0.0788980051875114,70.0,27.0,11,5,0,0
2.0,1776685953.256,20260420_205230_5fc343,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.026809,0.001128,-0.013396,0.000304,0.471743,5.3e-05,0.004492,0.002245,0.000671,0.0610817670822143,498.348,-0.0807511433959007,70.0,27.0,13,5,0,0
3.0,1776685954.256,20260420_205230_5fc343,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.028548,0.000678,-0.0133,0.000516,0.471707,6.3e-05,0.002854,0.003247,0.001585,0.0610817670822143,498.342,-0.0807511433959007,70.0,27.0,12,5,0,0
4.0,1776685955.256,20260420_205230_5fc343,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.027773,0.000554,-0.014233,0.000482,0.47182,5.7e-05,0.005008,0.003719,0.00144,0.0337310768663883,498.317,-0.0785410851240158,70.0,27.0,12,5,0,0
5.0,1776685956.256,20260420_205230_5fc343,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.027989,0.000362,-0.015167,0.00029,0.471796,9.1e-05,0.002396,0.001066,0.001466,0.0337310768663883,498.27,-0.0785410851240158,70.0,27.0,11,5,0,0
6.0,1776685957.256,20260420_205230_5fc343,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.028627,0.000768,-0.013726,0.000394,0.471756,0.000107,0.002344,0.003427,0.001443,0.0271081980317831,498.218,-0.0415223985910415,70.0,27.0,13,5,0,0
7.0,1776685958.256,20260420_205230_5fc343,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.028731,0.000729,-0.013279,0.000275,0.471757,9.5e-05,0.004371,0.0022,0.000626,0.0271081980317831,498.181,-0.0415223985910415,70.0,27.0,11,5,0,0
8.0,1776685959.256,20260420_205230_5fc343,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.027797,0.000895,-0.014767,0.000522,0.471793,6.4e-05,0.003209,0.003166,0.001082,0.0281930286437273,498.138,-0.0096898218616843,70.0,27.0,12,5,0,0
9.0,1776685960.256,20260420_205230_5fc343,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.027974,0.000446,-0.015005,0.00034,0.471781,5.7e-05,0.003733,0.004419,0.002718,0.0281930286437273,498.101,-0.0096898218616843,70.0,27.0,11,5,0,0
10.0,1776685961.256,20260420_205230_5fc343,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.027782,0.000604,-0.014968,0.000532,0.4718,7.4e-05,0.007258,0.004357,0.001044,0.0357410348951816,498.066,0.0029895808547735,70.0,27.0,13,5,0,0
11.0,1776685962.256,20260420_205230_5fc343,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.028972,0.0006,-0.013773,0.000516,0.471774,3.7e-05,0.00515,0.003487,0.00215,0.0357410348951816,498.059,0.0029895808547735,70.0,27.0,11,5,0,0
12.0,1776685963.256,20260420_205230_5fc343,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.029439,0.001046,-0.014284,0.000355,0.471674,6.3e-05,0.003474,0.004455,0.001343,0.0335072465240955,498.044,0.0118839778006076,70.0,27.0,12,5,0,0
13.0,1776685964.256,20260420_205230_5fc343,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.031179,0.000614,-0.015173,0.001108,0.471744,6e-05,0.004084,0.003606,0.00231,0.0335072465240955,498.032,0.0118839778006076,70.0,27.0,11,5,0,0
14.0,1776685965.256,20260420_205230_5fc343,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.030833,0.000815,-0.013925,0.000508,0.471761,7.6e-05,0.004659,0.002262,0.0014,0.0482127107679843,498.022,0.0246743261814117,70.0,27.0,13,5,0,0
