window_t,window_t_abs,run_id,domain,scenario,attack_type,label,label_detail,source,roll_mean,roll_std,pitch_mean,pitch_std,yaw_mean,yaw_std,rollspeed_std,pitchspeed_std,yawspeed_std,groundspeed,alt,climb,throttle,heading,msg_count_in_window,attitude_count_in_window,cmd_ack_count,param_value_count
0.0,1776686324.275,20260420_205844_bda6ce,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.028958,0.00121,-0.002788,0.000566,0.471399,0.000115,0.001934,0.002407,0.001973,,497.925,,,,12,6,0,0
1.0,1776686325.275,20260420_205844_bda6ce,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.028564,0.001186,-0.001633,0.000945,0.471495,9.8e-05,0.003016,0.004316,0.002854,0.0091627826914191,497.895,0.0642994418740272,70.0,27.0,13,5,0,0
2.0,1776686326.275,20260420_205844_bda6ce,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.026418,0.000231,-0.000419,0.000321,0.471596,5.1e-05,0.003329,0.00214,0.001201,0.0091627826914191,497.879,0.0642994418740272,70.0,27.0,10,4,0,0
3.0,1776686327.275,20260420_205844_bda6ce,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.028132,0.001086,-0.001656,0.000612,0.471476,8.3e-05,0.003275,0.003117,0.000992,0.0285915173590183,497.864,0.0765377134084701,70.0,27.0,13,6,0,0
4.0,1776686328.275,20260420_205844_bda6ce,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.028801,0.000705,-0.001935,0.00022,0.471555,6.8e-05,0.002853,0.002508,0.001632,0.0285915173590183,497.846,0.0765377134084701,70.0,27.0,11,5,0,0
5.0,1776686329.275,20260420_205844_bda6ce,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.029532,0.00052,-0.001145,0.000357,0.471547,0.000106,0.00436,0.002141,0.001727,0.0400369726121425,497.821,0.0893683955073356,70.0,27.0,14,4,0,0
6.0,1776686330.275,20260420_205844_bda6ce,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.029863,0.000329,-1.7e-05,0.000896,0.471571,7.7e-05,0.004454,0.002796,0.002179,0.0400369726121425,497.796,0.0893683955073356,70.0,27.0,12,6,0,0
7.0,1776686331.275,20260420_205844_bda6ce,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.027853,0.000684,-0.001671,0.001215,0.471546,0.000101,0.003586,0.004658,0.00086,0.0491499938070774,497.778,0.1094467267394065,70.0,27.0,12,5,0,0
8.0,1776686332.275,20260420_205844_bda6ce,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.028365,0.000242,-0.002168,0.000255,0.471477,5.6e-05,0.002534,0.004061,0.001065,0.0491499938070774,497.779,0.1094467267394065,70.0,27.0,11,4,0,0
9.0,1776686333.275,20260420_205844_bda6ce,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.028767,0.000232,-0.001861,0.000375,0.471574,9e-05,0.003096,0.003227,0.002028,0.028716504573822,497.801,0.1122703775763511,70.0,27.0,14,6,0,0
10.0,1776686334.275,20260420_205844_bda6ce,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.030375,0.000487,-0.002374,0.000298,0.471582,7.6e-05,0.0029,0.002305,0.00072,0.028716504573822,497.835,0.1122703775763511,70.0,27.0,11,5,0,0
11.0,1776686335.275,20260420_205844_bda6ce,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.03122,0.00049,-0.000718,0.000278,0.471546,0.00013,0.005685,0.002077,0.001567,0.0290191601961851,497.883,0.0792342349886894,70.0,27.0,13,5,0,0
12.0,1776686336.275,20260420_205844_bda6ce,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.030971,0.000645,-0.001844,0.00085,0.471497,6.5e-05,0.003532,0.00417,0.001421,0.0290191601961851,497.909,0.0792342349886894,70.0,27.0,11,5,0,0
13.0,1776686337.275,20260420_205844_bda6ce,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.026957,0.001255,-0.002137,0.000556,0.471557,6.6e-05,0.003115,0.003193,0.000639,0.0351220481097698,497.941,0.0428621359169483,70.0,27.0,13,5,0,0
