window_t,window_t_abs,run_id,domain,scenario,attack_type,label,label_detail,source,roll_mean,roll_std,pitch_mean,pitch_std,yaw_mean,yaw_std,rollspeed_std,pitchspeed_std,yawspeed_std,groundspeed,alt,climb,throttle,heading,msg_count_in_window,attitude_count_in_window,cmd_ack_count,param_value_count
0.0,1776686783.405,20260420_210622_0c8c3a,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.02215,0.000541,-0.00727,0.000345,0.471493,0.000142,0.002281,0.004255,0.000889,0.024888465180993,498.092,0.0041531277820467,70.0,27.0,13,5,0,0
1.0,1776686784.405,20260420_210622_0c8c3a,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.021321,0.001115,-0.006902,0.000285,0.471561,6e-05,0.004029,0.002607,0.001823,0.024888465180993,498.071,0.0041531277820467,70.0,27.0,11,6,0,0
2.0,1776686785.405,20260420_210622_0c8c3a,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.02155,0.000545,-0.007959,0.000375,0.471452,7.7e-05,0.004822,0.00236,0.001732,0.0277587920427322,498.054,0.0297398474067449,70.0,27.0,15,5,0,0
3.0,1776686786.405,20260420_210622_0c8c3a,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.021136,0.000227,-0.008062,0.000137,0.471653,0.000101,0.003103,0.002378,0.001361,0.0277587920427322,498.065,0.0297398474067449,70.0,27.0,10,5,0,0
4.0,1776686787.405,20260420_210622_0c8c3a,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.021363,0.000286,-0.008864,0.000297,0.471521,0.000123,0.004586,0.001689,0.002598,0.0179621819406747,498.063,0.0170386061072349,70.0,27.0,13,5,0,0
5.0,1776686788.405,20260420_210622_0c8c3a,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.020067,0.000501,-0.009056,0.000303,0.471505,3.9e-05,0.003338,0.001623,0.001292,0.0179621819406747,498.092,0.0170386061072349,70.0,27.0,9,4,0,0
6.0,1776686789.405,20260420_210622_0c8c3a,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.02055,0.000594,-0.008005,0.00036,0.4715,0.000124,0.003198,0.003461,0.001064,0.0193032938987016,498.128,-0.00419198628515,70.0,27.0,15,6,0,0
7.0,1776686790.405,20260420_210622_0c8c3a,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.020413,0.000686,-0.008807,0.000523,0.471587,5.4e-05,0.005347,0.001739,0.001879,0.0193032938987016,498.172,-0.00419198628515,70.0,27.0,10,4,0,0
8.0,1776686791.405,20260420_210622_0c8c3a,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.02019,0.000113,-0.007678,0.001174,0.471518,5.3e-05,0.003051,0.00345,0.001189,0.0183920376002788,498.204,-0.039774265140295,70.0,27.0,13,5,0,0
9.0,1776686792.405,20260420_210622_0c8c3a,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.019266,0.000679,-0.006867,0.000772,0.471522,0.000186,0.00262,0.003332,0.002405,0.0183920376002788,498.218,-0.039774265140295,70.0,27.0,11,6,0,0
10.0,1776686793.405,20260420_210622_0c8c3a,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.018749,0.000116,-0.009905,0.001852,0.471484,8.3e-05,0.002984,0.005289,0.001368,0.0335254035890102,498.251,-0.0591670349240303,70.0,27.0,14,5,0,0
11.0,1776686794.405,20260420_210622_0c8c3a,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.020243,0.000979,-0.010316,0.000842,0.471568,4.9e-05,0.003483,0.004247,0.001105,0.0335254035890102,498.253,-0.0591670349240303,70.0,27.0,10,5,0,0
12.0,1776686795.405,20260420_210622_0c8c3a,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.021247,0.000566,-0.010817,0.001309,0.471445,4e-05,0.00269,0.003202,0.001487,0.0247773565351963,498.249,-0.0528181008994579,70.0,27.0,12,5,0,0
13.0,1776686796.405,20260420_210622_0c8c3a,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.020533,0.000337,-0.012904,0.000668,0.47178,0.000346,0.005885,0.00706,0.001856,0.0247773565351963,498.216,-0.0528181008994579,70.0,27.0,11,4,0,0
14.0,1776686797.405,20260420_210622_0c8c3a,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.020593,0.000869,-0.01044,0.0009,0.47163,8.9e-05,0.005144,0.005752,0.000641,0.0227183569222688,498.189,-0.0466321855783462,70.0,27.0,15,6,0,0
15.0,1776686798.405,20260420_210622_0c8c3a,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.021206,0.000249,-0.0111,0.00096,0.471484,8.6e-05,0.005188,0.000481,0.000977,0.0227183569222688,498.188,-0.0466321855783462,70.0,27.0,10,4,0,0
16.0,1776686799.405,20260420_210622_0c8c3a,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.019086,0.000376,-0.012685,0.000217,0.471512,6.4e-05,0.004192,0.004575,0.001857,0.0325167290866375,498.162,-0.0368671379983425,70.0,27.0,14,6,0,0
17.0,1776686800.405,20260420_210622_0c8c3a,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.020447,0.000304,-0.01328,0.000565,0.471602,2.6e-05,0.001977,0.005833,0.000888,0.0325167290866375,498.151,-0.0368671379983425,70.0,27.0,10,5,0,0
18.0,1776686801.405,20260420_210622_0c8c3a,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.019969,0.00035,-0.011883,0.000858,0.471513,5e-05,0.001205,0.00219,0.001629,0.0359053499996662,498.094,-0.0205064807087183,70.0,27.0,13,4,0,0
19.0,1776686802.405,20260420_210622_0c8c3a,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.019577,0.000564,-0.011208,0.000515,0.471507,6.2e-05,0.003677,0.003874,0.002131,0.0359053499996662,498.076,-0.0205064807087183,70.0,27.0,11,6,0,0
20.0,1776686803.405,20260420_210622_0c8c3a,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.019472,0.000499,-0.014208,0.000972,0.471495,9.4e-05,0.00258,0.003619,0.001569,0.0433236323297023,498.028,-0.0060251448303461,70.0,27.0,13,5,0,0
21.0,1776686804.405,20260420_210622_0c8c3a,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.018777,0.000518,-0.017074,0.000748,0.471455,7.7e-05,0.002456,0.011933,0.001248,0.0433236323297023,498.013,-0.0060251448303461,70.0,27.0,9,4,0,0
22.0,1776686805.405,20260420_210622_0c8c3a,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.019916,0.000817,-0.012987,0.000957,0.471575,8.8e-05,0.004007,0.005116,0.002028,0.0530745796859264,497.986,0.039132222533226,70.0,27.0,15,6,0,0
23.0,1776686806.405,20260420_210622_0c8c3a,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.01989,0.000956,-0.011668,0.000618,0.471523,0.000136,0.002682,0.001266,0.001743,0.0530745796859264,498.003,0.039132222533226,70.0,27.0,9,4,0,0
24.0,1776686807.405,20260420_210622_0c8c3a,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.017728,0.000701,-0.012013,0.000406,0.471402,8.1e-05,0.003571,0.002268,0.000928,0.037938755005598,498.018,0.0428254455327987,70.0,27.0,13,5,0,0
25.0,1776686808.405,20260420_210622_0c8c3a,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.014474,0.001513,-0.013692,0.000553,0.471416,6.2e-05,0.002978,0.006777,0.001587,0.037938755005598,498.009,0.0428254455327987,70.0,27.0,11,6,0,0
26.0,1776686809.405,20260420_210622_0c8c3a,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.015026,0.00083,-0.012579,0.000463,0.471448,4e-05,0.002259,0.004711,0.001152,0.0328838899731636,498.006,0.0366655848920345,70.0,27.0,15,4,0,0
27.0,1776686810.405,20260420_210622_0c8c3a,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.015255,0.000269,-0.012456,0.000656,0.47143,3.8e-05,0.003382,0.004457,0.001513,0.0328838899731636,498.017,0.0366655848920345,70.0,27.0,11,6,0,0
