window_t,window_t_abs,run_id,domain,scenario,attack_type,label,label_detail,source,roll_mean,roll_std,pitch_mean,pitch_std,yaw_mean,yaw_std,rollspeed_std,pitchspeed_std,yawspeed_std,groundspeed,alt,climb,throttle,heading,msg_count_in_window,attitude_count_in_window,cmd_ack_count,param_value_count
0.0,1776687042.267,20260420_211041_2130fc,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.026498,0.000276,0.003779,0.000352,0.471585,9.1e-05,0.004534,0.009887,0.002721,,498.208,,,,12,5,0,0
1.0,1776687043.267,20260420_211041_2130fc,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.026052,0.000772,0.006045,0.000273,0.471591,8.9e-05,0.000457,0.004456,0.002073,0.0645591616630554,498.21,-0.042291659861803,70.0,27.0,12,5,0,0
2.0,1776687044.267,20260420_211041_2130fc,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.025938,0.000362,0.004433,0.000832,0.471479,0.000157,0.004249,0.003629,0.001584,0.0645591616630554,498.191,-0.042291659861803,70.0,27.0,11,5,0,0
3.0,1776687045.267,20260420_211041_2130fc,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.026244,0.000172,0.002872,0.00079,0.471576,6.4e-05,0.003125,0.008134,0.00194,0.0593608766794204,498.206,-0.0220093671232461,70.0,27.0,12,5,0,0
4.0,1776687046.267,20260420_211041_2130fc,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.0269,0.000597,0.003568,0.001428,0.471611,0.000106,0.003072,0.006981,0.002,0.0593608766794204,498.209,-0.0220093671232461,70.0,27.0,12,5,0,0
5.0,1776687047.267,20260420_211041_2130fc,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.026532,0.0006,0.00062,0.000934,0.471558,8.3e-05,0.00281,0.005693,0.000453,0.0405754558742046,498.19,-0.0389933921396732,70.0,27.0,12,5,0,0
6.0,1776687048.267,20260420_211041_2130fc,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.025643,0.000218,0.000307,0.00041,0.471512,0.000115,0.003708,0.003344,0.000831,0.0405754558742046,498.156,-0.0389933921396732,70.0,27.0,11,5,0,0
7.0,1776687049.267,20260420_211041_2130fc,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.024854,0.000658,0.000579,0.000281,0.471706,0.000141,0.002279,0.005064,0.001491,0.0216470230370759,498.112,-0.0226344112306833,70.0,27.0,13,5,0,0
8.0,1776687050.267,20260420_211041_2130fc,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.024783,0.000156,0.000875,0.000316,0.471554,7.9e-05,0.002615,0.003086,0.001594,0.0216470230370759,498.084,-0.0226344112306833,70.0,27.0,13,5,0,0
9.0,1776687051.267,20260420_211041_2130fc,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.023786,0.000259,-0.000269,0.000426,0.471482,6.8e-05,0.003262,0.002493,0.001472,0.0190246663987636,498.057,0.0148253422230482,70.0,27.0,12,5,0,0
10.0,1776687052.267,20260420_211041_2130fc,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.024155,0.001162,0.00035,0.000651,0.471626,9.2e-05,0.006059,0.002899,0.001285,0.0190246663987636,498.057,0.0148253422230482,70.0,27.0,11,5,0,0
11.0,1776687053.267,20260420_211041_2130fc,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.024253,0.000814,0.001784,0.000484,0.471601,0.000101,0.003316,0.004492,0.001479,0.027273554354906,498.055,0.0191640090197324,70.0,27.0,12,5,0,0
12.0,1776687054.267,20260420_211041_2130fc,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.024408,0.000385,0.001961,0.000333,0.471585,4.7e-05,0.005785,0.003364,0.000638,0.027273554354906,498.045,0.0191640090197324,70.0,27.0,12,5,0,0
13.0,1776687055.267,20260420_211041_2130fc,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.024284,0.000945,0.000111,0.000431,0.471507,3.1e-05,0.005165,0.005194,0.000884,0.0376967526972293,498.023,0.0272174943238496,70.0,27.0,12,5,0,0
14.0,1776687056.267,20260420_211041_2130fc,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.023917,0.000545,-0.00016,0.000401,0.47154,0.000127,0.007038,0.004474,0.002143,0.0376967526972293,498.016,0.0272174943238496,70.0,27.0,11,5,0,0
15.0,1776687057.267,20260420_211041_2130fc,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.024703,0.000134,-0.000509,0.000745,0.471583,7.6e-05,0.004474,0.005598,0.001406,0.0367241390049457,497.975,0.031780507415533,70.0,27.0,12,5,0,0
16.0,1776687058.267,20260420_211041_2130fc,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.024257,0.000948,-0.001405,0.000567,0.471486,0.000129,0.006523,0.005238,0.001142,0.0367241390049457,497.936,0.031780507415533,70.0,27.0,12,5,0,0
17.0,1776687059.267,20260420_211041_2130fc,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.024086,0.000628,0.000495,0.000435,0.471427,5e-05,0.00304,0.003478,0.00129,0.0430388301610946,497.921,0.0496636033058166,70.0,27.0,12,5,0,0
18.0,1776687060.267,20260420_211041_2130fc,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.025413,0.000538,0.000979,0.001104,0.47173,0.000181,0.00931,0.018899,0.003409,0.0430388301610946,497.913,0.0496636033058166,70.0,27.0,10,5,0,0
19.0,1776687061.267,20260420_211041_2130fc,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.024257,0.00086,0.003203,0.000375,0.471651,0.00031,0.003197,0.007073,0.001446,0.026748226955533,497.923,0.0603839680552482,70.0,27.0,12,5,0,0
20.0,1776687062.267,20260420_211041_2130fc,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.023522,0.000915,0.003327,0.000136,0.47146,6.6e-05,0.002904,0.003759,0.001161,0.026748226955533,497.952,0.0603839680552482,70.0,27.0,13,5,0,0
21.0,1776687063.267,20260420_211041_2130fc,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.02376,0.000625,0.004336,0.000698,0.471283,8.6e-05,0.003699,0.00275,0.000383,0.0288271848112344,497.986,0.0346588753163814,70.0,27.0,11,5,0,0
22.0,1776687064.267,20260420_211041_2130fc,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.022154,0.001262,0.00363,0.00084,0.471459,7.7e-05,0.00413,0.00401,0.00183,0.0288271848112344,498.013,0.0346588753163814,70.0,27.0,12,5,0,0
23.0,1776687065.267,20260420_211041_2130fc,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.022631,0.000403,0.002318,0.000264,0.471442,6.3e-05,0.003488,0.007887,0.001985,0.0389251895248889,498.031,0.011382833123207,70.0,27.0,11,5,0,0
24.0,1776687066.267,20260420_211041_2130fc,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.022922,0.000159,0.001953,0.000465,0.471571,0.000115,0.00183,0.003911,0.000515,0.0389251895248889,498.058,0.011382833123207,70.0,27.0,13,5,0,0
25.0,1776687067.267,20260420_211041_2130fc,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.023614,0.000574,0.001468,0.000435,0.471556,0.000109,0.002417,0.007555,0.001012,0.0266276951879262,498.088,0.0054822065867483,70.0,27.0,11,5,0,0
26.0,1776687068.267,20260420_211041_2130fc,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.024633,0.000382,0.000229,0.000549,0.471532,2.3e-05,0.002315,0.00314,0.001328,0.0266276951879262,498.12,0.0054822065867483,70.0,27.0,12,5,0,0
27.0,1776687069.267,20260420_211041_2130fc,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.023347,0.000506,0.001792,0.000684,0.471572,6.6e-05,0.00636,0.004039,0.001375,0.0170116014778614,498.159,-0.0211218800395727,70.0,27.0,11,5,0,0
28.0,1776687070.267,20260420_211041_2130fc,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.024253,0.000491,0.001532,0.00103,0.471487,4.4e-05,0.00338,0.004587,0.001344,0.0170116014778614,498.2,-0.0211218800395727,70.0,27.0,14,5,0,0
