window_t,window_t_abs,run_id,domain,scenario,attack_type,label,label_detail,source,roll_mean,roll_std,pitch_mean,pitch_std,yaw_mean,yaw_std,rollspeed_std,pitchspeed_std,yawspeed_std,groundspeed,alt,climb,throttle,heading,msg_count_in_window,attitude_count_in_window,cmd_ack_count,param_value_count
0.0,1776687219.339,20260420_211339_a1eb67,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.018727,0.000377,0.00478,0.001408,0.471503,7.9e-05,0.00401,0.004212,0.00402,0.0380612835288047,498.327,-0.0908303558826446,70.0,27.0,13,5,0,0
1.0,1776687220.339,20260420_211339_a1eb67,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.018035,0.000444,0.001983,0.000364,0.471431,0.000112,0.005497,0.004071,0.000512,0.0380612835288047,498.307,-0.0908303558826446,70.0,27.0,10,5,0,0
2.0,1776687221.339,20260420_211339_a1eb67,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.019016,0.00039,0.000945,0.000521,0.471468,0.000132,0.003195,0.003019,0.000904,0.0344008952379226,498.287,-0.0535237155854702,70.0,27.0,14,5,0,0
3.0,1776687222.339,20260420_211339_a1eb67,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.018051,0.000675,0.002511,0.001516,0.471528,9.1e-05,0.003629,0.009396,0.001299,0.0344008952379226,498.286,-0.0535237155854702,70.0,27.0,10,5,0,0
4.0,1776687223.339,20260420_211339_a1eb67,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.017672,0.00027,0.003263,0.000505,0.471513,0.000116,0.002729,0.005466,0.001588,0.0433880351483821,498.267,-0.0665460750460624,70.0,27.0,13,5,0,0
5.0,1776687224.339,20260420_211339_a1eb67,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.019104,0.000407,0.002857,0.000317,0.471447,0.000123,0.003578,0.004782,0.002079,0.0433880351483821,498.249,-0.0665460750460624,70.0,27.0,10,5,0,0
6.0,1776687225.339,20260420_211339_a1eb67,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.018719,0.000743,0.002722,0.000459,0.471468,9.8e-05,0.003721,0.006186,0.002839,0.0498791523277759,498.228,-0.0348444804549217,70.0,27.0,14,5,0,0
7.0,1776687226.339,20260420_211339_a1eb67,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.018233,0.000517,0.001613,0.000955,0.471524,7.4e-05,0.004423,0.00488,0.001925,0.0498791523277759,498.209,-0.0348444804549217,70.0,27.0,10,5,0,0
8.0,1776687227.339,20260420_211339_a1eb67,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.019959,0.000291,0.000719,0.000847,0.471582,7.8e-05,0.002783,0.002199,0.002065,0.0279961470514535,498.171,-0.0282424185425043,70.0,27.0,13,5,0,0
9.0,1776687228.339,20260420_211339_a1eb67,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.018219,0.00119,0.001372,0.00062,0.471404,3.4e-05,0.00125,0.005271,0.001759,0.0279961470514535,498.138,-0.0282424185425043,70.0,27.0,10,5,0,0
10.0,1776687229.339,20260420_211339_a1eb67,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.01671,0.000504,0.001584,0.000735,0.471535,5.7e-05,0.003341,0.005153,0.002006,0.0083374204114079,498.098,-0.0053416015580296,70.0,27.0,15,5,0,0
11.0,1776687230.339,20260420_211339_a1eb67,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.016807,0.000324,0.001844,0.000493,0.471591,8.8e-05,0.001682,0.005361,0.002826,0.0083374204114079,498.069,-0.0053416015580296,70.0,27.0,10,5,0,0
12.0,1776687231.339,20260420_211339_a1eb67,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.018163,0.000195,-0.000203,0.000691,0.471511,7.8e-05,0.000965,0.001441,0.001821,0.0149417920038104,498.047,0.007316970732063,70.0,27.0,13,5,0,0
13.0,1776687232.339,20260420_211339_a1eb67,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.0197,0.000583,-0.001026,0.000295,0.471534,1.9e-05,0.002365,0.00381,0.002061,0.0149417920038104,498.027,0.007316970732063,70.0,27.0,10,5,0,0
14.0,1776687233.339,20260420_211339_a1eb67,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.019549,0.000461,-4.6e-05,0.00051,0.47156,0.000116,0.003148,0.001577,0.002013,0.0151437260210514,498.008,0.024489751085639,70.0,27.0,14,5,0,0
15.0,1776687234.339,20260420_211339_a1eb67,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.019827,0.000255,0.000653,0.000327,0.471557,3.9e-05,0.003964,0.001725,0.002052,0.0151437260210514,498.0,0.024489751085639,70.0,27.0,10,5,0,0
16.0,1776687235.339,20260420_211339_a1eb67,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.019431,0.00057,0.000307,0.000374,0.471619,2.8e-05,0.003051,0.00297,0.001709,0.0248736459761858,497.993,0.0378042757511138,70.0,27.0,13,5,0,0
17.0,1776687236.339,20260420_211339_a1eb67,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.017798,0.000429,0.0008,0.00046,0.471606,9.2e-05,0.005248,0.005626,0.001627,0.0248736459761858,497.988,0.0378042757511138,70.0,27.0,10,5,0,0
18.0,1776687237.339,20260420_211339_a1eb67,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.018851,0.000506,0.000613,0.00051,0.471647,5.3e-05,0.005076,0.003064,0.002292,0.0453374311327934,497.974,0.0340776927769184,70.0,27.0,14,5,0,0
19.0,1776687238.339,20260420_211339_a1eb67,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.020028,0.000525,0.001439,0.000529,0.471585,8e-05,0.005435,0.005303,0.002643,0.0453374311327934,497.939,0.0340776927769184,70.0,27.0,10,5,0,0
20.0,1776687239.339,20260420_211339_a1eb67,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.019778,0.000273,0.001356,0.000229,0.471555,4.5e-05,0.00263,0.006469,0.001309,0.0524556674063205,497.933,0.0492173470556736,70.0,27.0,13,5,0,0
21.0,1776687240.339,20260420_211339_a1eb67,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.020774,0.000744,-0.001355,0.001191,0.47164,9.9e-05,0.005394,0.005478,0.002213,0.0524556674063205,497.912,0.0492173470556736,70.0,27.0,10,5,0,0
22.0,1776687241.339,20260420_211339_a1eb67,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.020907,0.00022,-0.001561,0.000395,0.471673,9.6e-05,0.004065,0.002527,0.002298,0.0451451577246189,497.945,0.0657940432429313,70.0,27.0,14,5,0,0
23.0,1776687242.339,20260420_211339_a1eb67,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.019451,0.00036,0.000762,0.000773,0.471608,0.000104,0.003849,0.00664,0.001843,0.0451451577246189,497.954,0.0657940432429313,70.0,27.0,10,5,0,0
24.0,1776687243.339,20260420_211339_a1eb67,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.021025,0.000675,0.00084,0.000675,0.471642,8.7e-05,0.003035,0.004476,0.001994,0.0390334017574787,497.971,0.0447568260133266,70.0,27.0,13,5,0,0
25.0,1776687244.339,20260420_211339_a1eb67,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.021288,0.000197,0.00034,0.000495,0.471733,0.000165,0.003827,0.004691,0.002099,0.0390334017574787,497.975,0.0447568260133266,70.0,27.0,10,5,0,0
