window_t,window_t_abs,run_id,domain,scenario,attack_type,label,label_detail,source,roll_mean,roll_std,pitch_mean,pitch_std,yaw_mean,yaw_std,rollspeed_std,pitchspeed_std,yawspeed_std,groundspeed,alt,climb,throttle,heading,msg_count_in_window,attitude_count_in_window,cmd_ack_count,param_value_count
0.0,1776687727.277,20260420_212206_df0477,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.044517,0.00078,-0.006487,0.000498,0.471679,0.000109,0.00525,0.003119,0.001828,0.04928819835186,498.268,-0.0451825410127639,70.0,27.0,12,5,0,0
1.0,1776687728.277,20260420_212206_df0477,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.044525,0.00027,-0.006426,0.000741,0.471575,0.000111,0.005854,0.002096,0.002053,0.04928819835186,498.277,-0.0451825410127639,70.0,27.0,11,5,0,0
2.0,1776687729.277,20260420_212206_df0477,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.045859,0.000933,-0.009276,0.001062,0.471551,6e-05,0.004456,0.003505,0.001435,0.0369793027639389,498.267,-0.0606076046824455,70.0,27.0,12,5,0,0
3.0,1776687730.277,20260420_212206_df0477,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.045297,0.000924,-0.01103,0.000839,0.471638,6.8e-05,0.005716,0.006667,0.002114,0.0369793027639389,498.266,-0.0606076046824455,70.0,27.0,14,5,0,0
4.0,1776687731.277,20260420_212206_df0477,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.04523,0.000616,-0.010809,0.000844,0.471614,0.000112,0.00497,0.003992,0.002174,0.055520087480545,498.254,-0.03946203738451,70.0,27.0,12,5,0,0
5.0,1776687732.277,20260420_212206_df0477,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.044893,0.000469,-0.008748,0.001214,0.471561,5.5e-05,0.001527,0.00359,0.001125,0.055520087480545,498.232,-0.03946203738451,70.0,27.0,11,5,0,0
6.0,1776687733.277,20260420_212206_df0477,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.044638,0.000443,-0.007164,0.000742,0.471524,5.4e-05,0.004428,0.00162,0.002686,0.0505069904029369,498.218,-0.0421430394053459,70.0,27.0,12,5,0,0
7.0,1776687734.277,20260420_212206_df0477,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.044596,0.000733,-0.009088,0.000897,0.471584,6e-05,0.001744,0.002342,0.002089,0.0505069904029369,498.192,-0.0421430394053459,70.0,27.0,12,5,0,0
8.0,1776687735.277,20260420_212206_df0477,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.043986,0.000429,-0.010439,0.000714,0.471555,9.7e-05,0.00306,0.004464,0.002014,0.0501128584146499,498.166,-0.025514617562294,70.0,27.0,12,5,0,0
9.0,1776687736.277,20260420_212206_df0477,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.043804,0.000423,-0.010549,0.000477,0.471534,4.9e-05,0.003423,0.001101,0.003409,0.0501128584146499,498.142,-0.025514617562294,70.0,27.0,11,5,0,0
