window_t,window_t_abs,run_id,domain,scenario,attack_type,label,label_detail,source,roll_mean,roll_std,pitch_mean,pitch_std,yaw_mean,yaw_std,rollspeed_std,pitchspeed_std,yawspeed_std,groundspeed,alt,climb,throttle,heading,msg_count_in_window,attitude_count_in_window,cmd_ack_count,param_value_count
0.0,1776673862.05,20260420_173101_9d0276,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.038078,0.000582,0.013218,0.001142,0.359902,0.000116,0.004783,0.006048,0.000873,,498.057,,,,13,5,0,0
1.0,1776673863.05,20260420_173101_9d0276,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.034691,0.002232,0.016982,0.000961,0.360011,4.9e-05,0.007162,0.003861,0.00119,0.0388635247945785,498.042,-0.0094993477687239,70.0,20.0,11,5,0,0
2.0,1776673864.05,20260420_173101_9d0276,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.031942,0.001182,0.017368,0.00065,0.359967,0.000118,0.006211,0.003798,0.002112,0.0388635247945785,498.041,-0.0094993477687239,70.0,20.0,12,5,0,0
3.0,1776673865.05,20260420_173101_9d0276,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.033669,0.000575,0.017584,0.000617,0.360004,4.8e-05,0.005916,0.003631,0.001713,0.0275893304497003,498.039,0.0029541156254708,70.0,20.0,11,5,0,0
4.0,1776673866.05,20260420_173101_9d0276,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.031894,0.002614,0.017257,0.000807,0.359869,5.2e-05,0.00859,0.005231,0.001535,0.0275893304497003,498.05,0.0029541156254708,70.0,20.0,13,5,0,0
5.0,1776673867.05,20260420_173101_9d0276,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.032477,0.002418,0.018492,0.000293,0.360009,6.9e-05,0.00358,0.004737,0.001663,0.0481544956564903,498.026,0.0038778544403612,70.0,20.0,11,5,0,0
6.0,1776673868.05,20260420_173101_9d0276,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.033258,0.000514,0.017893,0.000566,0.35989,9.8e-05,0.003703,0.001363,0.001225,0.0481544956564903,497.98,0.0038778544403612,70.0,20.0,12,5,0,0
7.0,1776673869.05,20260420_173101_9d0276,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.034982,0.000949,0.016459,0.000444,0.359967,6.6e-05,0.004407,0.004065,0.001587,0.0604473464190959,497.954,0.017384422942996,70.0,20.0,11,5,0,0
8.0,1776673870.05,20260420_173101_9d0276,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.032959,0.000659,0.016246,0.000518,0.359954,0.000107,0.006228,0.004162,0.002526,0.0604473464190959,497.93,0.017384422942996,70.0,20.0,13,5,0,0
9.0,1776673871.05,20260420_173101_9d0276,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.032975,0.000686,0.016145,0.000298,0.36006,0.000105,0.00715,0.002989,0.002571,0.0478004328906536,497.916,0.0398765578866004,70.0,20.0,11,5,0,0
