window_t,window_t_abs,run_id,domain,scenario,attack_type,label,label_detail,source,roll_mean,roll_std,pitch_mean,pitch_std,yaw_mean,yaw_std,rollspeed_std,pitchspeed_std,yawspeed_std,groundspeed,alt,climb,throttle,heading,msg_count_in_window,attitude_count_in_window,cmd_ack_count,param_value_count
0.0,1776674372.129,20260420_173931_3220e1,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.028567,0.002008,-0.014262,0.000234,0.399174,0.000111,0.005242,0.002339,0.001666,,498.157,,,,12,5,0,0
1.0,1776674373.129,20260420_173931_3220e1,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.026067,0.000227,-0.012271,0.00107,0.399299,3.2e-05,0.004573,0.005137,0.00314,0.01196807064116,498.139,-0.1108372211456298,70.0,22.0,11,5,0,0
2.0,1776674374.129,20260420_173931_3220e1,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.026835,0.000361,-0.011557,0.000305,0.399122,6.9e-05,0.003631,0.00113,0.001215,0.01196807064116,498.133,-0.1108372211456298,70.0,22.0,14,5,0,0
3.0,1776674375.129,20260420_173931_3220e1,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.027559,0.000451,-0.011706,0.000207,0.399155,7.6e-05,0.002988,0.003719,0.001371,0.0168830659240484,498.108,-0.1014683172106742,70.0,22.0,11,5,0,0
4.0,1776674376.129,20260420_173931_3220e1,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.027236,0.000567,-0.013234,0.000276,0.399197,3.9e-05,0.003548,0.001587,0.001596,0.0168830659240484,498.071,-0.1014683172106742,70.0,22.0,12,5,0,0
5.0,1776674377.129,20260420_173931_3220e1,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.026816,0.000177,-0.013023,0.000475,0.399195,8.6e-05,0.002195,0.003802,0.001659,0.0153824687004089,498.036,-0.0876364633440971,70.0,22.0,11,5,0,0
6.0,1776674378.129,20260420_173931_3220e1,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.027232,0.000624,-0.013456,0.000316,0.399212,9.4e-05,0.002036,0.002537,0.001131,0.0153824687004089,497.992,-0.0876364633440971,70.0,22.0,13,5,0,0
7.0,1776674379.129,20260420_173931_3220e1,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.028754,0.00041,-0.012003,0.000345,0.399153,5e-05,0.004236,0.000899,0.001251,0.0211552772670984,497.959,-0.0513810962438583,70.0,22.0,11,5,0,0
8.0,1776674380.129,20260420_173931_3220e1,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.030031,0.00087,-0.012254,0.000694,0.399254,4.4e-05,0.004069,0.004094,0.002189,0.0211552772670984,497.907,-0.0513810962438583,70.0,22.0,12,5,0,0
9.0,1776674381.129,20260420_173931_3220e1,hitl,hover,disarm,attack,attack,new_rpi_2026_04_20,0.031038,0.000616,-0.014781,0.000626,0.399157,9e-05,0.004885,0.006153,0.001317,0.0068442053161561,497.869,-0.0040520061738789,70.0,22.0,12,5,0,0
