window_t,window_t_abs,run_id,domain,scenario,attack_type,label,label_detail,source,roll_mean,roll_std,pitch_mean,pitch_std,yaw_mean,yaw_std,rollspeed_std,pitchspeed_std,yawspeed_std,groundspeed,alt,climb,throttle,heading,msg_count_in_window,attitude_count_in_window,cmd_ack_count,param_value_count
0.0,1776672284.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.018558,0.001294,-0.025071,9.7e-05,0.468462,0.000101,0.004979,0.002293,0.00158,0.0097176488488912,498.079,-0.0112661570310592,70.0,26.0,13,5,0,0
1.0,1776672285.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.016972,0.000726,-0.024756,0.000452,0.468443,4e-05,0.004926,0.003186,0.002138,0.0097176488488912,498.088,-0.0112661570310592,70.0,26.0,11,5,0,0
2.0,1776672286.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.015977,0.000245,-0.025023,0.000552,0.468525,8e-05,0.001474,0.002196,0.002399,0.0223753284662961,498.105,-0.0306090265512466,70.0,26.0,14,5,0,0
3.0,1776672287.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.016328,0.000188,-0.025604,0.000758,0.468441,6.5e-05,0.004166,0.004571,0.001549,0.0223753284662961,498.113,-0.0306090265512466,70.0,26.0,10,5,0,0
4.0,1776672288.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.016282,0.000352,-0.024768,0.000541,0.468531,6.6e-05,0.003944,0.003103,0.000999,0.0135931121185421,498.127,-0.0429965741932392,70.0,26.0,13,5,0,0
5.0,1776672289.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.01735,0.00046,-0.024508,0.000454,0.468454,6.4e-05,0.0051,0.004086,0.001288,0.0135931121185421,498.117,-0.0429965741932392,70.0,26.0,11,5,0,0
6.0,1776672290.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.015183,0.000779,-0.024988,0.00045,0.468534,7.4e-05,0.003517,0.002353,0.001106,0.0160849951207637,498.126,-0.0438978821039199,70.0,26.0,13,5,0,0
7.0,1776672291.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.016101,0.000499,-0.025259,0.000226,0.468465,9.8e-05,0.005202,0.001437,0.001803,0.0160849951207637,498.134,-0.0438978821039199,70.0,26.0,10,5,0,0
8.0,1776672292.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.015938,0.000154,-0.02637,0.000701,0.468491,6.3e-05,0.002717,0.002185,0.001655,0.0137432496994733,498.141,-0.0406987182796001,70.0,26.0,13,5,0,0
9.0,1776672293.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.015341,0.000271,-0.025881,0.001063,0.46847,0.000115,0.003945,0.004902,0.002497,0.0137432496994733,498.167,-0.0406987182796001,70.0,26.0,12,5,0,0
10.0,1776672294.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.016751,0.001118,-0.024884,0.001076,0.468594,4.2e-05,0.00442,0.002756,0.001649,0.0081865154206752,498.183,-0.0510078370571136,70.0,26.0,13,5,0,0
11.0,1776672295.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.017582,0.000552,-0.024783,0.000374,0.468603,0.000131,0.003113,0.003733,0.002305,0.0081865154206752,498.173,-0.0510078370571136,70.0,26.0,10,5,0,0
12.0,1776672296.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.018339,0.000437,-0.024614,0.00057,0.468502,8.8e-05,0.001814,0.001966,0.001927,0.027006110176444,498.166,-0.0583559721708297,70.0,26.0,13,5,0,0
13.0,1776672297.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.018508,0.000368,-0.024424,0.000681,0.468399,6e-05,0.003303,0.002954,0.000706,0.027006110176444,498.178,-0.0583559721708297,70.0,26.0,11,5,0,0
14.0,1776672298.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.018433,0.000646,-0.022282,0.00032,0.468542,8.2e-05,0.004556,0.001299,0.001677,0.0478303283452987,498.181,-0.0602613538503646,70.0,26.0,13,5,0,0
15.0,1776672299.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.017042,0.000555,-0.021828,0.000196,0.468528,7.7e-05,0.005376,0.00341,0.002727,0.0478303283452987,498.19,-0.0602613538503646,70.0,26.0,10,5,0,0
16.0,1776672300.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.017963,0.000482,-0.022387,0.000533,0.468479,0.000109,0.004573,0.004284,0.001732,0.0321411378681659,498.235,-0.0591210760176181,70.0,26.0,13,5,0,0
17.0,1776672301.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.016467,0.000537,-0.024488,0.000565,0.468455,6.2e-05,0.002212,0.002271,0.00106,0.0321411378681659,498.251,-0.0591210760176181,70.0,26.0,11,5,0,0
18.0,1776672302.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.017969,0.000718,-0.02537,0.000212,0.468494,6.9e-05,0.003805,0.002006,0.001586,0.0114557109773159,498.247,-0.0788274481892585,70.0,26.0,13,5,0,0
19.0,1776672303.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.017919,0.000573,-0.025244,0.000273,0.468505,8.1e-05,0.002522,0.003321,0.001282,0.0114557109773159,498.248,-0.0788274481892585,70.0,26.0,10,5,0,0
20.0,1776672304.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.017048,0.000433,-0.023399,0.000805,0.468441,6.9e-05,0.004919,0.005754,0.002566,0.0116984061896801,498.221,-0.081704095005989,70.0,26.0,13,5,0,0
21.0,1776672305.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.016054,0.000127,-0.024753,0.000589,0.468451,0.00012,0.002369,0.003979,0.001808,0.0116984061896801,498.185,-0.081704095005989,70.0,26.0,11,5,0,0
22.0,1776672306.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.015451,0.000583,-0.023225,0.000727,0.468581,9.8e-05,0.006337,0.00363,0.001683,0.0332032106816768,498.13,-0.0480990372598171,70.0,26.0,13,5,0,0
23.0,1776672307.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.018388,0.000346,-0.021709,0.000828,0.46842,0.000117,0.005082,0.006678,0.002283,0.0332032106816768,498.094,-0.0480990372598171,70.0,26.0,10,5,0,0
24.0,1776672308.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.016958,0.001389,-0.024526,0.000894,0.468523,0.000118,0.006384,0.003153,0.001629,0.0633369833230972,498.068,-0.0152920596301555,70.0,26.0,13,5,0,0
25.0,1776672309.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.016366,0.001087,-0.024834,0.000189,0.468487,0.000136,0.003629,0.004341,0.002226,0.0633369833230972,498.068,-0.0152920596301555,70.0,26.0,11,5,0,0
26.0,1776672310.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.018462,0.000671,-0.022954,0.001435,0.468541,3.1e-05,0.002227,0.005136,0.002097,0.0448602735996246,498.059,-0.0050187953747808,70.0,26.0,14,5,0,0
27.0,1776672311.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.018396,0.000477,-0.022499,0.000385,0.468646,9.1e-05,0.004342,0.003521,0.001523,0.0448602735996246,498.017,-0.0050187953747808,70.0,26.0,10,5,0,0
28.0,1776672312.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.018356,0.0006,-0.022758,0.000834,0.468563,4.6e-05,0.004802,0.006311,0.001065,0.0621888116002082,498.005,-0.0008613876998424,70.0,26.0,13,5,0,0
29.0,1776672313.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.016097,0.000546,-0.023218,0.000608,0.468488,0.000115,0.001489,0.004352,0.001008,0.0621888116002082,497.995,-0.0008613876998424,70.0,26.0,11,5,0,0
30.0,1776672314.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.015288,0.000252,-0.024582,0.000273,0.468447,8.1e-05,0.004278,0.003727,0.001948,0.0394857712090015,498.016,0.0130545627325773,70.0,26.0,15,5,0,0
31.0,1776672315.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.01451,0.000512,-0.023923,0.000753,0.468434,8e-05,0.002053,0.003142,0.002167,0.0394857712090015,498.014,0.0130545627325773,70.0,26.0,10,5,0,0
32.0,1776672316.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.01394,0.00041,-0.024882,0.000589,0.468539,7.1e-05,0.00362,0.001381,0.002069,0.0266363248229026,498.022,0.0093169780448079,70.0,26.0,13,5,0,0
33.0,1776672317.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.01519,0.000527,-0.024449,0.00014,0.468405,0.000114,0.004684,0.0033,0.001349,0.0266363248229026,498.008,0.0093169780448079,70.0,26.0,11,5,0,0
34.0,1776672318.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.015919,0.000189,-0.023699,0.000445,0.46835,8.4e-05,0.004345,0.001991,0.001045,0.0307234358042478,498.002,0.0160958804190158,70.0,26.0,14,5,0,0
35.0,1776672319.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.016908,0.000274,-0.022924,0.000283,0.468345,0.000106,0.003166,0.004743,0.001765,0.0307234358042478,497.97,0.0160958804190158,70.0,26.0,10,5,0,0
36.0,1776672320.728,20260420_170444_f81d98,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.016039,0.000745,-0.021237,0.000958,0.468347,0.0001,0.002148,0.001829,0.002437,0.0254753921180963,497.918,0.0292754247784614,70.0,26.0,14,5,0,0
