window_t,window_t_abs,run_id,domain,scenario,attack_type,label,label_detail,source,roll_mean,roll_std,pitch_mean,pitch_std,yaw_mean,yaw_std,rollspeed_std,pitchspeed_std,yawspeed_std,groundspeed,alt,climb,throttle,heading,msg_count_in_window,attitude_count_in_window,cmd_ack_count,param_value_count
0.0,1776672979.983,20260420_171619_4e7caf,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.011313,0.000458,-0.011705,0.000483,0.468723,0.000107,0.003639,0.001881,0.001729,,497.913,,,,10,5,0,0
1.0,1776672980.983,20260420_171619_4e7caf,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.01315,0.000561,-0.010391,0.000449,0.468825,6.8e-05,0.003324,0.003733,0.001929,0.0063019739463925,497.952,0.038416426628828,70.0,26.0,14,6,0,0
2.0,1776672981.983,20260420_171619_4e7caf,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.012506,0.000319,-0.012105,0.000794,0.468717,4e-05,0.002712,0.003456,0.002618,0.0063019739463925,498.011,0.038416426628828,70.0,26.0,10,5,0,0
3.0,1776672982.983,20260420_171619_4e7caf,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.014067,0.000841,-0.013304,0.000773,0.468705,7.7e-05,0.002033,0.001911,0.000746,0.0187581833451986,498.046,0.0006936066783964,70.0,26.0,14,5,0,0
4.0,1776672983.983,20260420_171619_4e7caf,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.013354,0.000687,-0.013236,0.000859,0.468822,0.00012,0.003836,0.002079,0.001503,0.0187581833451986,498.062,0.0006936066783964,70.0,26.0,10,5,0,0
5.0,1776672984.983,20260420_171619_4e7caf,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.012367,0.000293,-0.011249,0.000369,0.468611,0.000111,0.002134,0.002124,0.002984,0.0289549063891172,498.103,-0.022177118808031,70.0,26.0,13,5,0,0
6.0,1776672985.983,20260420_171619_4e7caf,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.011869,0.000301,-0.011303,0.000264,0.468651,6.7e-05,0.00348,0.001879,0.001489,0.0289549063891172,498.13,-0.022177118808031,70.0,26.0,11,5,0,0
7.0,1776672986.983,20260420_171619_4e7caf,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.011264,0.000289,-0.011563,0.000311,0.468735,6.9e-05,0.002058,0.005597,0.000752,0.0145449498668313,498.148,-0.0374837294220924,70.0,26.0,12,4,0,0
8.0,1776672987.983,20260420_171619_4e7caf,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.010926,0.000618,-0.011039,0.000536,0.468681,7.6e-05,0.004533,0.001938,0.002926,0.0145449498668313,498.159,-0.0374837294220924,70.0,26.0,10,6,0,0
9.0,1776672988.983,20260420_171619_4e7caf,hitl,hover,flooding,attack,pre_attack,new_rpi_2026_04_20,0.013055,0.000219,-0.011658,0.000467,0.468633,2.2e-05,0.003706,0.003548,0.001444,0.0106660462915897,498.165,-0.0447013266384601,70.0,26.0,15,5,0,0
