window_t,window_t_abs,run_id,domain,scenario,attack_type,label,label_detail,source,roll_mean,roll_std,pitch_mean,pitch_std,yaw_mean,yaw_std,rollspeed_std,pitchspeed_std,yawspeed_std,groundspeed,alt,climb,throttle,heading,msg_count_in_window,attitude_count_in_window,cmd_ack_count,param_value_count
0.0,1776675104.059,20260420_175143_3dade4,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.024986,0.00062,-0.011351,0.00053,0.49166,8.8e-05,0.004881,0.002116,0.00297,,498.134,,,,12,5,0,0
1.0,1776675105.059,20260420_175143_3dade4,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.023682,0.0008,-0.009099,0.001268,0.491554,0.000109,0.003487,0.003771,0.002557,0.0496194511651992,498.05,0.0204433612525463,70.0,28.0,12,6,0,0
2.0,1776675106.059,20260420_175143_3dade4,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.023011,0.000149,-0.005551,0.000761,0.491615,8e-05,0.003991,0.001738,0.001825,0.0496194511651992,497.948,0.0204433612525463,70.0,28.0,12,4,0,0
3.0,1776675107.059,20260420_175143_3dade4,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.023755,0.000429,-0.003477,0.000192,0.491597,6.9e-05,0.007923,0.002382,0.002411,0.0230954810976982,497.91,0.087598793208599,70.0,28.0,11,5,0,0
4.0,1776675108.059,20260420_175143_3dade4,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.026381,0.000693,-0.005064,0.000584,0.491591,9.2e-05,0.004737,0.0028,0.002136,0.0230954810976982,497.835,0.087598793208599,70.0,28.0,12,5,0,0
5.0,1776675109.059,20260420_175143_3dade4,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.02814,0.000484,-0.00573,0.000239,0.4916,8.6e-05,0.00721,0.002702,0.002555,0.0363560728728771,497.809,0.1299348026514053,70.0,28.0,11,5,0,0
6.0,1776675110.059,20260420_175143_3dade4,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.024783,0.00095,-0.005102,0.000913,0.491569,9.1e-05,0.005952,0.001803,0.001374,0.0363560728728771,497.772,0.1299348026514053,70.0,28.0,13,5,0,0
7.0,1776675111.059,20260420_175143_3dade4,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.025093,0.000903,-0.004792,0.001122,0.491413,7.8e-05,0.003532,0.002122,0.002818,0.0362117066979408,497.756,0.1354735791683197,70.0,28.0,11,5,0,0
8.0,1776675112.059,20260420_175143_3dade4,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.025224,0.00104,-0.006605,0.000353,0.491532,9.3e-05,0.003242,0.001583,0.001616,0.0362117066979408,497.75,0.1354735791683197,70.0,28.0,12,5,0,0
9.0,1776675113.059,20260420_175143_3dade4,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.023904,0.000266,-0.005754,0.000555,0.491539,6.5e-05,0.003272,0.004496,0.001265,0.0320913568139076,497.755,0.1411070078611374,70.0,28.0,12,6,0,0
10.0,1776675114.059,20260420_175143_3dade4,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.023929,0.000196,-0.005716,0.000504,0.491496,7.2e-05,0.003456,0.003412,0.000738,0.0320913568139076,497.768,0.1411070078611374,70.0,28.0,14,4,0,0
11.0,1776675115.059,20260420_175143_3dade4,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.022992,0.000527,-0.003726,0.000616,0.491564,7e-05,0.003902,0.002567,0.001261,0.0282382778823375,497.786,0.1342949271202087,70.0,28.0,12,6,0,0
12.0,1776675116.059,20260420_175143_3dade4,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.022677,0.000409,-0.002616,6.9e-05,0.491629,9.7e-05,0.006487,0.004382,0.001909,0.0282382778823375,497.806,0.1342949271202087,70.0,28.0,11,4,0,0
13.0,1776675117.059,20260420_175143_3dade4,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.022196,0.000269,-0.003124,0.00042,0.491507,7.9e-05,0.007169,0.004979,0.001841,0.0407215058803558,497.841,0.1243232041597366,70.0,28.0,13,6,0,0
14.0,1776675118.059,20260420_175143_3dade4,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.022821,0.000279,-0.002721,0.000407,0.491535,6e-05,0.002522,0.004038,0.001139,0.0407215058803558,497.874,0.1243232041597366,70.0,28.0,12,4,0,0
15.0,1776675119.059,20260420_175143_3dade4,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.023582,0.000249,-0.004764,0.000732,0.491506,5.3e-05,0.00456,0.003556,0.001738,0.0469683222472667,497.894,0.1004837751388549,70.0,28.0,14,6,0,0
16.0,1776675120.059,20260420_175143_3dade4,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.025309,0.000895,-0.005359,0.000679,0.491482,6.7e-05,0.006041,0.005527,0.002654,0.0469683222472667,497.92,0.1004837751388549,70.0,28.0,11,4,0,0
17.0,1776675121.059,20260420_175143_3dade4,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.025334,0.000943,-0.006391,0.000531,0.491601,4.7e-05,0.004453,0.003006,0.002216,0.0400343723595142,497.953,0.0876324325799942,70.0,28.0,12,6,0,0
18.0,1776675122.059,20260420_175143_3dade4,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.023121,0.001077,-0.004666,0.000382,0.491569,5.3e-05,0.002601,0.003826,0.002452,0.0400343723595142,497.949,0.0876324325799942,70.0,28.0,12,4,0,0
19.0,1776675123.059,20260420_175143_3dade4,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.022966,0.000369,-0.003808,0.000655,0.491661,7.3e-05,0.003877,0.002285,0.002173,0.0366235598921775,497.965,0.0690669566392898,70.0,28.0,12,6,0,0
20.0,1776675124.059,20260420_175143_3dade4,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.025322,0.000694,-0.001774,0.000524,0.491612,8.5e-05,0.003997,0.003839,0.000712,0.0366235598921775,497.978,0.0690669566392898,70.0,28.0,11,4,0,0
21.0,1776675125.059,20260420_175143_3dade4,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.027082,0.000308,-0.002271,0.001145,0.491674,0.000113,0.003411,0.006139,0.002385,0.0420934371650218,497.99,0.05213163793087,70.0,28.0,12,6,0,0
22.0,1776675126.059,20260420_175143_3dade4,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.026548,0.000715,-0.004004,0.000819,0.491439,6.1e-05,0.007176,0.004183,0.001989,0.0420934371650218,497.986,0.05213163793087,70.0,28.0,12,4,0,0
23.0,1776675127.059,20260420_175143_3dade4,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.026054,0.001025,-0.002691,0.000626,0.491668,7.7e-05,0.002286,0.004754,0.001492,0.0457739606499671,497.985,0.0510951429605484,70.0,28.0,11,5,0,0
24.0,1776675128.059,20260420_175143_3dade4,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.028329,0.000414,-0.003137,0.000637,0.491624,6.8e-05,0.002976,0.002672,0.002011,0.0457739606499671,497.976,0.0510951429605484,70.0,28.0,12,5,0,0
25.0,1776675129.059,20260420_175143_3dade4,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.027585,0.000727,-0.00417,0.000792,0.491645,0.000101,0.003855,0.006715,0.002137,0.0380559042096138,497.965,0.061681717634201,70.0,28.0,12,5,0,0
26.0,1776675130.059,20260420_175143_3dade4,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.025406,0.00115,-0.004263,0.000347,0.49167,9.2e-05,0.004607,0.003663,0.001635,0.0380559042096138,497.971,0.061681717634201,70.0,28.0,13,5,0,0
27.0,1776675131.059,20260420_175143_3dade4,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.024193,0.000966,-0.005769,0.000564,0.491682,9.5e-05,0.004667,0.002483,0.001532,0.0096790799871087,497.988,0.0556894466280937,70.0,28.0,11,5,0,0
28.0,1776675132.059,20260420_175143_3dade4,hitl,hover,pid_tamper,attack,attack,new_rpi_2026_04_20,0.026185,0.000325,-0.005156,0.000458,0.491741,5.8e-05,0.005068,0.003329,0.000757,0.0096790799871087,498.031,0.0556894466280937,70.0,28.0,13,5,0,0
