window_t,window_t_abs,run_id,domain,scenario,attack_type,label,label_detail,source,roll_mean,roll_std,pitch_mean,pitch_std,yaw_mean,yaw_std,rollspeed_std,pitchspeed_std,yawspeed_std,groundspeed,alt,climb,throttle,heading,msg_count_in_window,attitude_count_in_window,cmd_ack_count,param_value_count
0.0,1776686530.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.024836,0.000288,-0.001707,0.000505,0.471741,6e-05,0.003489,0.005008,0.000829,,498.199,,,,15,5,0,0
1.0,1776686531.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.02303,0.000825,-0.003362,0.000632,0.47161,8.6e-05,0.007169,0.003013,0.000853,0.0236679650843143,498.192,-0.0422419123351573,70.0,27.0,11,5,0,0
2.0,1776686532.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.022626,0.001236,-0.00441,0.000395,0.471554,0.000103,0.005167,0.003159,0.001694,0.0236679650843143,498.144,-0.0422419123351573,70.0,27.0,12,5,0,0
3.0,1776686533.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.024882,0.000329,-0.004234,0.00033,0.471683,5.1e-05,0.001766,0.006909,0.002231,0.0381464771926403,498.1,-0.0091944113373756,70.0,27.0,11,5,0,0
4.0,1776686534.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.024835,0.000474,-0.003976,0.000529,0.471649,3.8e-05,0.005079,0.004286,0.001496,0.0381464771926403,498.047,-0.0091944113373756,70.0,27.0,13,5,0,0
5.0,1776686535.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.025058,0.000464,-0.001783,0.000612,0.471664,9.7e-05,0.003169,0.005207,0.001893,0.0344324260950088,498.037,0.025211151689291,70.0,27.0,12,5,0,0
6.0,1776686536.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.024272,0.000165,-0.001664,0.000472,0.471682,0.000108,0.003446,0.003864,0.001442,0.0344324260950088,498.016,0.025211151689291,70.0,27.0,12,5,0,0
7.0,1776686537.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.024522,0.000405,-0.002724,0.000524,0.471591,0.000125,0.001059,0.004784,0.00122,0.0279583372175693,498.025,0.0313307791948318,70.0,27.0,11,5,0,0
8.0,1776686538.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.025442,0.000112,-0.003759,0.000209,0.471642,0.000104,0.003227,0.00375,0.001535,0.0279583372175693,498.001,0.0313307791948318,70.0,27.0,13,5,0,0
9.0,1776686539.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.025306,0.000311,-0.002925,0.000659,0.471762,5.4e-05,0.004185,0.003981,0.001853,0.0312050785869359,498.006,0.0271169412881135,70.0,27.0,12,5,0,0
10.0,1776686540.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.02604,0.000438,-0.001863,0.001023,0.471538,8.6e-05,0.00622,0.004919,0.001013,0.0312050785869359,498.0,0.0271169412881135,70.0,27.0,12,5,0,0
11.0,1776686541.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.024533,0.000514,-0.000188,0.000667,0.471563,9.2e-05,0.005501,0.004065,0.002699,0.0150714162737131,498.009,0.0255128536373376,70.0,27.0,11,5,0,0
12.0,1776686542.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.023831,0.001208,-0.000431,0.000543,0.471587,0.000106,0.00454,0.00508,0.001832,0.0150714162737131,498.005,0.0255128536373376,70.0,27.0,13,5,0,0
13.0,1776686543.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.023425,0.000308,-0.001702,0.000498,0.471428,3.6e-05,0.00417,0.001791,0.002114,0.027019340544939,498.001,0.0291935428977012,70.0,27.0,12,5,0,0
14.0,1776686544.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.024178,0.000141,-0.002315,0.000301,0.471545,9.3e-05,0.004248,0.004765,0.001331,0.027019340544939,497.989,0.0291935428977012,70.0,27.0,11,5,0,0
15.0,1776686545.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.024116,0.00017,-0.001271,0.000116,0.471627,5.6e-05,0.003149,0.005029,0.001584,0.0297879073768854,497.979,0.0343131199479103,70.0,27.0,12,5,0,0
16.0,1776686546.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.02516,0.000355,-0.002249,0.000211,0.471516,6.8e-05,0.004624,0.00537,0.001983,0.0297879073768854,497.995,0.0343131199479103,70.0,27.0,12,5,0,0
17.0,1776686547.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.025615,0.000583,-0.00118,0.000527,0.471527,9.5e-05,0.004032,0.004644,0.001093,0.049218688160181,497.988,0.0324749462306499,70.0,27.0,12,5,0,0
18.0,1776686548.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.0247,0.000123,-0.002566,0.000679,0.47154,4.7e-05,0.002609,0.006256,0.001957,0.049218688160181,498.012,0.0324749462306499,70.0,27.0,11,5,0,0
19.0,1776686549.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.024109,0.000277,-0.00296,0.000931,0.471483,4.7e-05,0.002422,0.004381,0.002211,0.0420878678560256,498.061,0.0277795754373073,70.0,27.0,12,5,0,0
20.0,1776686550.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.024125,0.000301,-0.003733,0.000376,0.471485,4.2e-05,0.002485,0.005511,0.002065,0.0420878678560256,498.054,0.0277795754373073,70.0,27.0,13,5,0,0
21.0,1776686551.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.023774,0.000315,-0.00228,0.000319,0.471475,0.000103,0.003325,0.004926,0.001909,0.0247963350266218,498.026,0.0162906274199485,70.0,27.0,13,5,0,0
22.0,1776686552.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.023318,0.000352,-0.003549,0.00043,0.471566,6.8e-05,0.002906,0.002832,0.001524,0.0247963350266218,498.01,0.0162906274199485,70.0,27.0,11,5,0,0
23.0,1776686553.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.022021,0.000288,-0.003702,0.000415,0.471628,5.8e-05,0.00418,0.002666,0.003537,0.0141096338629722,497.985,0.0419084057211875,70.0,27.0,12,5,0,0
24.0,1776686554.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.021334,0.000677,-0.003377,0.000452,0.471465,0.000118,0.003998,0.001789,0.000497,0.0141096338629722,497.995,0.0419084057211875,70.0,27.0,12,5,0,0
25.0,1776686555.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.021444,0.001651,-0.005123,0.00044,0.471432,0.000147,0.003073,0.004171,0.000848,0.031937938183546,498.01,0.0412981808185577,70.0,27.0,12,5,0,0
26.0,1776686556.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.023923,0.000506,-0.004424,0.000381,0.47148,0.000166,0.004641,0.003099,0.001347,0.031937938183546,498.009,0.0412981808185577,70.0,27.0,11,5,0,0
27.0,1776686557.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.022997,0.000375,-0.004075,0.000455,0.471565,4.5e-05,0.003087,0.004312,0.00152,0.0372102074325084,498.014,0.0431449860334396,70.0,27.0,13,5,0,0
28.0,1776686558.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.023733,0.000596,-0.0037,0.000356,0.471525,0.000103,0.003017,0.005365,0.002912,0.0372102074325084,498.017,0.0431449860334396,70.0,27.0,12,5,0,0
29.0,1776686559.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.025788,0.001086,-0.00584,0.000309,0.471534,8.5e-05,0.003248,0.005947,0.001394,0.0389137640595436,497.997,0.0315167754888534,70.0,27.0,12,5,0,0
30.0,1776686560.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.025672,0.000595,-0.003513,0.000858,0.471533,0.000115,0.00156,0.00626,0.001502,0.0389137640595436,497.997,0.0315167754888534,70.0,27.0,11,5,0,0
31.0,1776686561.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.024028,0.00093,-0.002263,0.000283,0.471588,7.5e-05,0.004453,0.002246,0.00207,0.0323583595454692,498.009,0.034630786627531,70.0,27.0,13,5,0,0
32.0,1776686562.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.021078,0.000659,-0.002629,0.000739,0.471566,5e-05,0.0047,0.004469,0.0018,0.0323583595454692,497.997,0.034630786627531,70.0,27.0,12,5,0,0
33.0,1776686563.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.022018,0.000423,-0.003409,0.000263,0.471457,5.9e-05,0.002885,0.004654,0.002588,0.0238782837986946,497.973,0.0265667997300624,70.0,27.0,12,5,0,0
34.0,1776686564.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.023789,0.000825,-0.002784,0.000585,0.471519,9.8e-05,0.002631,0.005592,0.001813,0.0238782837986946,497.977,0.0265667997300624,70.0,27.0,11,5,0,0
35.0,1776686565.248,20260420_210209_f46780,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.024105,0.00015,-0.003205,0.000417,0.471568,0.0001,0.00235,0.004131,0.002146,0.0124315870925784,497.978,0.0309886448085308,70.0,27.0,12,5,0,0
