window_t,window_t_abs,run_id,domain,scenario,attack_type,label,label_detail,source,roll_mean,roll_std,pitch_mean,pitch_std,yaw_mean,yaw_std,rollspeed_std,pitchspeed_std,yawspeed_std,groundspeed,alt,climb,throttle,heading,msg_count_in_window,attitude_count_in_window,cmd_ack_count,param_value_count
0.0,1776687476.319,20260420_211756_28db59,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.017004,0.000863,0.003912,0.00053,0.471334,7.2e-05,0.005943,0.003531,0.001414,,498.067,,,,12,5,0,0
1.0,1776687477.319,20260420_211756_28db59,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.016915,0.000608,0.004717,0.000704,0.471367,3.3e-05,0.006547,0.005841,0.0022,0.0447882525622844,498.05,0.0178644470870494,70.0,27.0,12,5,0,0
2.0,1776687478.319,20260420_211756_28db59,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.015205,0.000791,0.004164,0.000874,0.47137,3.3e-05,0.009549,0.006545,0.001596,0.0447882525622844,498.032,0.0178644470870494,70.0,27.0,13,5,0,0
3.0,1776687479.319,20260420_211756_28db59,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.017108,0.001184,0.003164,0.000947,0.471208,7.6e-05,0.019019,0.004144,0.0014,0.1251744627952575,498.017,0.0303837303072214,70.0,27.0,11,5,0,0
4.0,1776687480.319,20260420_211756_28db59,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.014252,0.001211,0.003053,0.000966,0.471302,0.000129,0.014739,0.003167,0.000461,0.1251744627952575,497.989,0.0303837303072214,70.0,27.0,12,5,0,0
5.0,1776687481.319,20260420_211756_28db59,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.013989,0.001206,0.003678,0.00059,0.47139,6.2e-05,0.0181,0.002783,0.002276,0.1607744842767715,498.0,0.0579806789755821,70.0,27.0,12,5,0,0
6.0,1776687482.319,20260420_211756_28db59,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.016503,0.001491,0.006004,0.001353,0.471238,3.1e-05,0.014618,0.007765,0.002253,0.1607744842767715,498.013,0.0579806789755821,70.0,27.0,12,5,0,0
7.0,1776687483.319,20260420_211756_28db59,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.018744,0.000856,0.006296,0.000523,0.471312,6.7e-05,0.013558,0.0067,0.00241,0.155388057231903,498.002,0.0354398973286151,70.0,26.0,11,5,0,0
8.0,1776687484.319,20260420_211756_28db59,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.018787,0.000932,0.004286,0.000379,0.471451,9.9e-05,0.015058,0.003138,0.00225,0.155388057231903,497.979,0.0354398973286151,70.0,26.0,12,5,0,0
9.0,1776687485.319,20260420_211756_28db59,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.01975,0.000799,0.002568,0.000912,0.471265,6.1e-05,0.016534,0.005715,0.001559,0.1352386623620987,497.934,0.0331604592502117,70.0,27.0,12,5,0,0
10.0,1776687486.319,20260420_211756_28db59,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.017822,0.00048,0.00391,0.00138,0.471597,8.8e-05,0.017056,0.002024,0.001309,0.1352386623620987,497.895,0.0331604592502117,70.0,27.0,12,5,0,0
11.0,1776687487.319,20260420_211756_28db59,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.017536,0.000893,0.006149,0.00078,0.471393,6.9e-05,0.010221,0.004753,0.00232,0.1097367629408836,497.856,0.0731607228517532,70.0,27.0,11,5,0,0
12.0,1776687488.319,20260420_211756_28db59,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.020255,0.001509,0.007922,0.000477,0.471453,8.2e-05,0.011687,0.001091,0.0023,0.1097367629408836,497.812,0.0731607228517532,70.0,27.0,12,5,0,0
13.0,1776687489.319,20260420_211756_28db59,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.021179,0.00096,0.007286,0.000412,0.471437,0.000107,0.006635,0.002597,0.002524,0.0794851034879684,497.776,0.1071037501096725,70.0,27.0,14,5,0,0
14.0,1776687490.319,20260420_211756_28db59,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.020368,0.000375,0.006501,0.000129,0.471472,5.8e-05,0.00556,0.002011,0.000666,0.0794851034879684,497.738,0.1071037501096725,70.0,27.0,12,5,0,0
15.0,1776687491.319,20260420_211756_28db59,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.020046,0.000509,0.006354,0.000543,0.471531,0.000116,0.010115,0.002261,0.000866,0.0697784051299095,497.736,0.1227322518825531,70.0,27.0,12,5,0,0
16.0,1776687492.319,20260420_211756_28db59,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.021171,0.000686,0.005351,0.000108,0.47147,6.6e-05,0.009778,0.002791,0.001129,0.0697784051299095,497.733,0.1227322518825531,70.0,27.0,11,5,0,0
17.0,1776687493.319,20260420_211756_28db59,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.021798,0.00088,0.005185,0.000261,0.471439,6.7e-05,0.005358,0.002624,0.001875,0.0623037070035934,497.739,0.1162902936339378,70.0,27.0,12,5,0,0
18.0,1776687494.319,20260420_211756_28db59,hitl,hover,none,normal,normal,new_rpi_2026_04_20,0.023649,0.002159,0.005944,0.000614,0.471889,0.000745,0.013683,0.021951,0.001205,0.0623037070035934,497.735,0.1162902936339378,70.0,27.0,11,5,0,0
