rpi_run_id,ubuntu_run_id,label,attack_type,scenario,domain,start_time,end_time,duration_sec,total_messages
20260420_170444_f81d98,20260420_170505_8289f6,attack,flooding,hover,hitl,2026-04-20T17:04:44.182654,,,
20260420_171619_4e7caf,20260420_171623_74f4e4,attack,flooding,hover,hitl,2026-04-20T17:16:19.060790,2026-04-20T17:20:13.715804,233.7,8150
20260420_172204_316d79,20260420_172207_a84630,attack,flooding,hover,hitl,2026-04-20T17:22:04.539126,2026-04-20T17:25:40.503107,215.5,8106
20260420_173101_9d0276,20260420_173103_fa345c,attack,disarm,hover,hitl,2026-04-20T17:31:01.317341,2026-04-20T17:34:08.746794,186.7,2824
20260420_173931_3220e1,20260420_173934_35452a,attack,disarm,hover,hitl,2026-04-20T17:39:31.109259,2026-04-20T17:42:36.391410,184.4,2792
20260420_174529_d4d958,20260420_174532_200c2c,attack,disarm,hover,hitl,2026-04-20T17:45:29.865997,2026-04-20T17:48:43.080738,193.0,2897
20260420_175143_3dade4,20260420_175145_9e4e03,attack,pid_tamper,hover,hitl,2026-04-20T17:51:43.927845,2026-04-20T17:55:19.195403,215.1,2575
20260420_194711_b755c3,20260420_194713_e38bea,attack,pid_tamper,hover,hitl,2026-04-20T19:47:11.386959,2026-04-20T19:50:46.968325,214.7,2565
20260420_195341_fd1ee3,20260420_195343_dd725c,attack,pid_tamper,hover,hitl,2026-04-20T19:53:41.337545,2026-04-20T19:57:16.580485,214.3,2547
20260420_200118_b6b214,20260420_200123_76ee3b,attack,tampering,hover,hitl,2026-04-20T20:01:18.109113,2026-04-20T20:04:58.088073,219.8,2625
20260420_200727_ea437e,20260420_200729_d8fc6f,attack,tampering,hover,hitl,2026-04-20T20:07:27.326572,2026-04-20T20:11:03.611024,215.3,2557
20260420_201324_7d75fb,20260420_201325_7cd248,attack,tampering,hover,hitl,2026-04-20T20:13:24.243329,2026-04-20T20:17:00.354850,215.1,2564
20260420_201852_c5c04f,20260420_201853_a2f353,attack,malformed,hover,hitl,2026-04-20T20:18:52.544707,2026-04-20T20:22:25.925980,212.6,4906
20260420_202447_bb6e38,20260420_202448_008b94,attack,malformed,hover,hitl,2026-04-20T20:24:47.113687,2026-04-20T20:28:21.088384,213.8,4920
20260420_203125_a7db56,20260420_203126_c42542,attack,malformed,hover,hitl,2026-04-20T20:31:25.372282,2026-04-20T20:34:58.813317,212.6,4904
20260420_204552_dd948c,,normal,none,hover,hitl,2026-04-20T20:45:52.055993,2026-04-20T20:49:23.084217,210.9,2512
20260420_205230_5fc343,,normal,none,hover,hitl,2026-04-20T20:52:30.417805,2026-04-20T20:56:48.135127,256.9,3055
20260420_205844_bda6ce,,normal,none,hover,hitl,2026-04-20T20:58:44.131765,2026-04-20T21:01:37.160020,172.9,2062
20260420_210209_f46780,,normal,none,hover,hitl,2026-04-20T21:02:09.634149,2026-04-20T21:06:01.714881,231.5,2756
20260420_210622_0c8c3a,,normal,none,hover,hitl,2026-04-20T21:06:22.812286,2026-04-20T21:10:27.837659,244.6,2916
20260420_211041_2130fc,,normal,none,hover,hitl,2026-04-20T21:10:41.420432,2026-04-20T21:13:28.424397,166.2,1974
20260420_211339_a1eb67,,normal,none,hover,hitl,2026-04-20T21:13:39.143886,2026-04-20T21:17:43.667114,244.4,2904
20260420_211756_28db59,,normal,none,hover,hitl,2026-04-20T21:17:56.122941,2026-04-20T21:21:55.381036,239.1,2845
20260420_212206_df0477,,normal,none,hover,hitl,2026-04-20T21:22:06.430351,2026-04-20T21:25:45.402328,218.1,2590
20260420_212553_e13c77,,normal,none,hover,hitl,2026-04-20T21:25:53.629159,2026-04-20T21:29:42.962554,228.7,2722
